# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -4.531; 1.550; 4.789
1.5; 0.172; -4.359; 1.033; 4.480
3.0; 0.360; -4.053; 0.895; 4.151
4.5; 0.570; -3.676; 1.060; 3.826
6.0; 0.806; -3.224; 1.480; 3.548
7.5; 1.074; -2.625; 2.122; 3.376
9.0; 1.378; -1.860; 2.664; 3.249
10.5; 1.715; -1.073; 3.013; 3.198
12.0; 2.080; -1.190; 2.826; 3.066
13.5; 2.483; -0.718; 2.647; 2.742
15.0; 2.880; 2.081; 1.423; 2.521
16.5; 3.283; -1.259; -2.789; 3.060
18.0; 3.768; -1.376; -2.726; 3.054
19.5; 4.262; 0.825; -2.749; 2.870
21.0; 4.698; 1.078; -2.634; 2.846
22.5; 5.075; 1.638; -2.056; 2.628
24.0; 5.393; 2.332; -1.028; 2.548
25.5; 5.666; 2.567; 0.088; 2.568
27.0; 5.913; 1.703; 1.886; 2.541
28.5; 6.149; 0.193; 3.091; 3.097
30.0; 6.389; -0.395; 3.229; 3.253
31.5; 6.635; -0.547; 3.232; 3.278
33.0; 6.888; -0.332; 3.214; 3.232
34.5; 7.146; -0.089; 3.187; 3.189
36.0; 7.399; 1.363; 2.310; 2.682
37.5; 7.636; 1.899; 1.568; 2.463
39.0; 7.857; 2.386; 0.178; 2.393
40.5; 8.063; 2.044; -1.054; 2.299
42.0; 8.272; -2.569; -1.528; 2.989
43.5; 8.502; -3.357; -1.219; 3.571
45.0; 8.762; -2.691; -2.123; 3.427
46.5; 9.050; -1.284; -3.016; 3.278
48.0; 9.365; -1.042; -3.029; 3.203
49.5; 9.687; 0.853; -2.767; 2.896
51.0; 10.010; -1.314; 0.915; 1.601
52.5; 10.363; -1.025; 2.993; 3.164
54.0; 10.733; 0.791; 2.794; 2.904
55.5; 11.074; 1.207; 2.517; 2.791
57.0; 11.378; 1.902; 1.715; 2.561
58.5; 11.647; 2.348; 0.823; 2.488
60.0; 11.889; 2.381; 0.527; 2.439
61.5; 12.110; 2.294; 0.573; 2.365
63.0; 12.316; 2.107; 0.908; 2.294
64.5; 12.511; 1.736; 1.545; 2.324
66.0; 12.709; -2.493; 2.211; 3.333
67.5; 12.926; -3.294; 1.667; 3.692
69.0; 13.170; -3.314; 1.000; 3.462
70.5; 13.455; -2.826; 1.715; 3.306
72.0; 13.776; -1.037; 3.059; 3.230
73.5; 14.133; -1.371; 2.770; 3.091
75.0; 14.543; -1.168; 2.844; 3.075
76.5; 15.197; -2.449; 1.383; 2.813
78.0; 16.084; 1.138; 2.649; 2.883
79.5; 16.611; 2.094; 1.680; 2.684
81.0; 17.001; 1.830; 0.325; 1.859
82.5; 17.382; -1.068; -2.953; 3.140
84.0; 17.773; 0.345; -2.972; 2.992
85.5; 18.137; 1.881; -1.871; 2.653
87.0; 18.452; 2.191; -1.327; 2.561
88.5; 18.725; 2.434; -0.593; 2.505
90.0; 18.966; 2.506; 0.000; 2.506
91.5; 19.187; 2.196; 0.871; 2.362
93.0; 19.395; 1.740; 1.650; 2.398
94.5; 19.593; 1.557; 1.857; 2.423
96.0; 19.785; 1.603; 1.724; 2.354
97.5; 19.969; 1.666; 1.546; 2.273
99.0; 20.147; 1.711; 1.375; 2.195
100.5; 20.318; 1.743; 1.205; 2.119
102.0; 20.484; 1.766; 1.032; 2.046
103.5; 20.645; 1.781; 0.855; 1.975
105.0; 20.801; 1.781; 0.691; 1.911
106.5; 20.952; 1.772; 0.536; 1.852
108.0; 21.099; 1.749; 0.416; 1.798
109.5; 21.243; 1.690; 0.433; 1.745
111.0; 21.383; 1.602; 0.571; 1.700
112.5; 21.521; 1.531; 0.645; 1.661
114.0; 21.662; -5.470; 0.535; 5.496
115.5; 21.815; -5.109; 0.134; 5.111
117.0; 21.982; -4.720; 0.000; 4.720
118.5; 22.165; -4.344; -0.000; 4.344
120.0; 22.369; -3.998; -0.000; 3.998
121.5; 22.600; -3.563; -0.675; 3.626
123.0; 22.862; -2.578; -2.275; 3.438
124.5; 23.154; -1.072; -3.118; 3.297
126.0; 23.467; -1.093; -2.956; 3.152
127.5; 23.770; 2.076; -0.013; 2.076
129.0; 24.068; -0.984; 3.113; 3.265
130.5; 24.374; 0.669; 2.863; 2.940
132.0; 24.662; 1.268; 2.432; 2.742
133.5; 24.925; 2.148; 1.206; 2.463
135.0; 25.163; 2.464; 0.129; 2.467
