# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.00398; 0.0; -10.6; 1.0
1.5; 0.172; 0.00570; 0.0; -10.4; 0.8
3.0; 0.360; 0.00964; 0.0; -9.8; 1.0
4.5; 0.570; 0.01806; 0.0; -8.8; 1.4
6.0; 0.806; 0.03390; 0.0; -7.1; 2.0
7.5; 1.074; 0.05330; 1.7; -6.3; 2.5
9.0; 1.378; 0.07378; 0.0; -1.8; 2.8
10.5; 1.715; 0.03895; 0.0; -2.7; 2.6
12.0; 2.080; 0.00702; 0.0; -1.3; 2.5
13.5; 2.483; -0.04748; 22.2; -12.9; 1.3
15.0; 2.880; -0.10990; 5.1; -7.9; -2.6
16.5; 3.283; -0.12706; 0.0; -3.4; -2.5
18.0; 3.768; -0.11835; 4.9; 0.0; -2.6
19.5; 4.262; -0.10888; 6.0; 0.0; -2.5
21.0; 4.698; -0.06263; 17.4; -9.1; -1.9
22.5; 5.075; -0.02256; 17.6; -6.4; -1.0
24.0; 5.393; 0.00233; 17.9; -5.3; 0.1
25.5; 5.666; 0.03040; 12.0; -2.2; 1.8
27.0; 5.913; 0.04744; 4.4; 0.0; 2.9
28.5; 6.149; 0.04224; 2.1; 0.0; 3.0
30.0; 6.389; 0.03316; 1.3; 0.0; 3.0
31.5; 6.635; 0.02427; 1.9; 0.0; 3.0
33.0; 6.888; 0.01505; 2.7; 0.0; 3.0
34.5; 7.146; 0.00804; 11.9; -3.5; 2.2
36.0; 7.399; 0.02171; 14.8; -4.0; 1.5
37.5; 7.636; 0.00085; 19.2; -6.1; 0.2
39.0; 7.857; -0.01260; 17.5; -5.2; -1.0
40.5; 8.063; -0.01510; 0.0; -5.5; -1.4
42.0; 8.272; -0.01292; 0.0; -9.2; -1.1
43.5; 8.502; -0.03309; 0.0; -7.3; -2.0
45.0; 8.762; -0.05772; 4.0; -6.1; -2.8
46.5; 9.050; -0.05110; 0.0; -1.5; -2.8
48.0; 9.365; -0.01735; 5.5; 0.0; -2.6
49.5; 9.687; 0.03148; 36.7; -39.7; 0.9
51.0; 10.010; 0.09267; 0.5; -2.1; 2.8
52.5; 10.363; 0.06473; 5.1; 0.0; 2.6
54.0; 10.733; 0.06551; 8.0; -1.1; 2.4
55.5; 11.074; 0.03538; 16.8; -7.0; 1.6
57.0; 11.378; 0.01361; 17.6; -5.7; 0.8
58.5; 11.647; 0.00747; 18.1; -5.6; 0.5
60.0; 11.889; 0.00720; 18.4; -5.7; 0.5
61.5; 12.110; 0.01039; 18.1; -5.5; 0.8
63.0; 12.316; 0.01639; 16.6; -5.0; 1.4
64.5; 12.511; 0.02000; 0.0; -4.8; 2.1
66.0; 12.709; 0.01371; 0.0; -8.6; 1.6
67.5; 12.926; 0.01193; 0.0; -9.4; 0.9
69.0; 13.170; 0.03337; 0.0; -8.2; 1.6
