# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 9.15; -0.01553; 0.11902; -0.20332; 0.03280
1.5; 0.172; 8.37; -0.00989; 0.09304; -0.16776; 0.03710
3.0; 0.360; 7.58; -0.00781; 0.10796; -0.12904; 0.02924
4.5; 0.570; 6.79; -0.00841; 0.15690; -0.10722; 0.01427
6.0; 0.806; 6.00; -0.01078; 0.25664; -0.10664; 0.00602
7.5; 1.074; 5.27; -0.01524; 0.41620; -0.10349; 0.02735
9.0; 1.378; 4.67; -0.02192; 0.56776; -0.05073; 0.08148
10.5; 1.715; 4.26; -0.05069; 0.89899; 0.07437; 0.14883
12.0; 2.080; 3.74; -0.08629; 0.93190; 0.19097; 0.13182
13.5; 2.483; 3.33; -0.15088; 1.23764; 0.19467; 0.12437
15.0; 2.880; 4.03; -0.04831; -0.60206; 0.19882; 0.10838
16.5; 3.283; 3.51; 0.00661; -0.82632; 0.14081; -0.11690
18.0; 3.768; 2.80; 0.03192; -1.05714; -0.02157; -0.09724
19.5; 4.262; 3.18; -0.00885; -0.69298; -0.04293; 0.03845
21.0; 4.698; 3.69; -0.01006; -0.73451; 0.05880; 0.07549
22.5; 5.075; 4.34; 0.00008; -0.34679; 0.14150; 0.02675
24.0; 5.393; 5.11; 0.00212; -0.12732; 0.17025; 0.00133
25.5; 5.666; 5.83; 0.00037; 0.08178; 0.16610; -0.01709
27.0; 5.913; 6.26; -0.00938; 0.39052; 0.13764; -0.01559
28.5; 6.149; 6.30; -0.03259; 0.57375; 0.09776; 0.00598
30.0; 6.389; 6.17; -0.04867; 0.59231; 0.05928; 0.02554
31.5; 6.635; 5.98; -0.06143; 0.60476; 0.03163; 0.04912
33.0; 6.888; 5.84; -0.07239; 0.61221; 0.02478; 0.07622
34.5; 7.146; 5.75; -0.08319; 0.62613; 0.04394; 0.10548
36.0; 7.399; 6.05; -0.02935; 0.06389; 0.09510; 0.07103
37.5; 7.636; 6.51; -0.00880; 0.26495; 0.14344; 0.03069
39.0; 7.857; 7.05; -0.00190; -0.05529; 0.14597; -0.01363
40.5; 8.063; 7.48; 0.00592; -0.18035; 0.09849; -0.04930
42.0; 8.272; 6.93; 0.01186; -0.22854; 0.02953; -0.05612
43.5; 8.502; 6.13; 0.00929; -0.16789; -0.01625; -0.01992
45.0; 8.762; 5.40; 0.01562; -0.43511; -0.01243; -0.00076
46.5; 9.050; 5.00; 0.03766; -0.69170; 0.01640; -0.01161
48.0; 9.365; 4.61; 0.07149; -0.91327; 0.07608; -0.01596
49.5; 9.687; 4.82; 0.03992; -0.17885; 0.14597; -0.02898
51.0; 10.010; 4.38; 0.00180; 0.44778; 0.14280; -0.04663
52.5; 10.363; 3.99; -0.03997; 0.94874; 0.02421; -0.07361
54.0; 10.733; 4.25; -0.01809; 0.51236; -0.15011; -0.07096
55.5; 11.074; 4.67; -0.00688; 0.56227; -0.21542; 0.01745
57.0; 11.378; 5.26; -0.00586; 0.23542; -0.14993; 0.07702
58.5; 11.647; 5.91; -0.00341; 0.10100; -0.03974; 0.07462
60.0; 11.889; 6.51; -0.00254; 0.07598; 0.05105; 0.05056
61.5; 12.110; 7.03; -0.00307; 0.08715; 0.10133; 0.02149
63.0; 12.316; 7.48; -0.00531; 0.13853; 0.10841; -0.00356
64.5; 12.511; 7.82; -0.01013; 0.22544; 0.08072; -0.01711
66.0; 12.709; 7.31; -0.01988; 0.32855; 0.03339; -0.01271
67.5; 12.926; 6.57; -0.01503; 0.19886; -0.01660; -0.01938
69.0; 13.170; 5.73; -0.00701; 0.14540; -0.07538; -0.03870
70.5; 13.455; 4.89; -0.00865; 0.40626; -0.12683; -0.00989
72.0; 13.776; 4.53; -0.04940; 0.90394; -0.09286; 0.11072
73.5; 14.133; 3.94; -0.07915; 0.37479; 0.00234; 0.11982
75.0; 14.543; 3.38; -0.04617; 0.80919; -0.01472; -0.04130
76.5; 15.197; 1.55; -0.18962; 1.40919; -0.28386; 0.01512
78.0; 16.084; 2.32; -0.09255; 1.01876; -0.11988; 0.32037
79.5; 16.611; 3.43; 0.01227; 0.49216; 0.14769; 0.04042
81.0; 17.001; 4.17; -0.00188; -0.20477; 0.07528; -0.06283
82.5; 17.382; 3.73; 0.03746; -0.99056; -0.04649; -0.09525
84.0; 17.773; 3.81; 0.07050; -1.02196; -0.04539; -0.02101
85.5; 18.137; 4.45; 0.00970; -0.26067; 0.04944; 0.05289
87.0; 18.452; 5.16; 0.00238; -0.25674; 0.16060; 0.06978
88.5; 18.725; 5.85; 0.00265; -0.03551; 0.25933; 0.04801
90.0; 18.966; 6.47; 0.00018; 0.01567; 0.30581; 0.00823
91.5; 19.187; 6.97; -0.00429; 0.16858; 0.29352; -0.01905
93.0; 19.395; 7.34; -0.01039; 0.25599; 0.24822; -0.02457
94.5; 19.593; 7.65; -0.01303; 0.25345; 0.19408; -0.02349
96.0; 19.785; 7.97; -0.01236; 0.21570; 0.13927; -0.02428
97.5; 19.969; 8.28; -0.01106; 0.18512; 0.08390; -0.02608
99.0; 20.147; 8.59; -0.00980; 0.15809; 0.02786; -0.02749
100.5; 20.318; 8.90; -0.00857; 0.13308; -0.02766; -0.02772
102.0; 20.484; 9.20; -0.00733; 0.10917; -0.08049; -0.02627
103.5; 20.645; 9.49; -0.00608; 0.08653; -0.12773; -0.02272
105.0; 20.801; 9.78; -0.00491; 0.06717; -0.16589; -0.01660
106.5; 20.952; 10.05; -0.00381; 0.04957; -0.19149; -0.00849
108.0; 21.099; 10.32; -0.00295; 0.03739; -0.20271; 0.00024
109.5; 21.243; 10.57; -0.00298; 0.04258; -0.19955; 0.00987
111.0; 21.383; 10.80; -0.00387; 0.05847; -0.18151; 0.02119
112.5; 21.521; 11.02; -0.00443; 0.06182; -0.14733; 0.03273
114.0; 21.662; 10.22; -0.00468; 0.04710; -0.09765; 0.04270
115.5; 21.815; 9.41; -0.00164; -0.00637; -0.03512; 0.04618
117.0; 21.982; 8.60; -0.00015; -0.00364; 0.03434; 0.04776
118.5; 22.165; 7.78; -0.00000; 0.00055; 0.10730; 0.04950
120.0; 22.369; 6.94; -0.00000; -0.00018; 0.18277; 0.05098
