# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; 1.719; -0.044; 1.720
1.5; 0.137; 1.600; -0.383; 1.645
3.0; 0.270; 1.390; -0.925; 1.670
4.5; 0.400; 1.058; -1.595; 1.914
6.0; 0.528; 0.615; -2.276; 2.358
7.5; 0.656; 0.045; -2.944; 2.945
9.0; 0.787; -0.341; -3.300; 3.317
10.5; 0.925; -3.953; -3.550; 5.313
12.0; 1.071; -3.692; -3.467; 5.065
13.5; 1.225; -3.812; -3.024; 4.866
15.0; 1.387; -4.135; -2.073; 4.625
16.5; 1.559; -4.145; -1.324; 4.352
18.0; 1.749; -3.910; -1.059; 4.051
19.5; 1.964; -3.613; -1.013; 3.752
21.0; 2.210; -3.330; -0.989; 3.474
22.5; 2.501; -2.936; -1.424; 3.263
24.0; 2.856; -2.559; -1.784; 3.119
25.5; 3.265; -1.127; -2.896; 3.108
27.0; 3.661; -1.325; -2.685; 2.994
28.5; 4.228; -2.471; -1.097; 2.703
30.0; 4.888; 2.572; -0.697; 2.665
31.5; 5.299; 2.096; -1.669; 2.679
33.0; 5.641; 1.946; -1.766; 2.628
34.5; 5.944; 2.028; -1.617; 2.593
36.0; 6.219; 2.043; -1.510; 2.540
37.5; 6.474; 2.013; -1.469; 2.492
39.0; 6.710; 1.957; -1.470; 2.447
40.5; 6.931; 1.978; -1.331; 2.384
42.0; 7.139; 2.052; -1.058; 2.309
43.5; 7.333; 2.114; -0.743; 2.241
45.0; 7.516; 2.151; -0.405; 2.189
46.5; 7.691; 2.151; -0.099; 2.153
48.0; 7.859; 2.100; 0.000; 2.100
49.5; 8.022; 1.876; 0.685; 1.997
51.0; 8.182; 1.167; 2.011; 2.325
52.5; 8.342; -0.161; 3.290; 3.294
54.0; 8.505; -0.917; 3.638; 3.752
55.5; 8.671; -0.892; 3.605; 3.714
57.0; 8.841; -2.373; 3.484; 4.216
58.5; 9.018; -2.188; 3.413; 4.054
60.0; 9.200; -2.050; 3.342; 3.921
61.5; 9.389; -1.925; 3.278; 3.801
63.0; 9.587; -1.795; 3.223; 3.689
64.5; 9.797; -1.644; 3.183; 3.583
66.0; 10.020; -1.427; 3.176; 3.482
67.5; 10.254; -0.517; 3.199; 3.241
69.0; 10.493; -0.429; 3.178; 3.207
70.5; 10.736; -0.296; 3.155; 3.169
72.0; 10.982; -0.136; 3.130; 3.133
73.5; 11.226; 0.162; 3.066; 3.070
75.0; 11.466; 0.445; 2.978; 3.011
76.5; 11.701; 0.506; 2.947; 2.990
78.0; 11.933; 0.794; 2.772; 2.883
79.5; 12.163; 1.051; 2.567; 2.774
81.0; 12.389; 1.278; 2.337; 2.664
82.5; 12.608; 1.533; 2.012; 2.529
84.0; 12.819; 1.889; 1.406; 2.355
85.5; 13.019; 2.289; 0.122; 2.292
87.0; 13.219; -2.180; -1.911; 2.899
88.5; 13.430; -2.587; -2.739; 3.768
90.0; 13.652; -2.304; -2.788; 3.616
91.5; 13.885; -2.128; -2.747; 3.475
93.0; 14.136; -1.856; -2.787; 3.348
94.5; 14.413; -1.466; -2.893; 3.243
96.0; 14.716; -1.080; -2.976; 3.165
97.5; 15.035; -0.395; -3.027; 3.053
99.0; 15.356; 0.013; -3.041; 3.041
100.5; 15.665; 0.908; -2.729; 2.876
102.0; 15.955; 1.030; -2.645; 2.838
103.5; 16.235; 0.892; -2.729; 2.871
105.0; 16.506; 1.236; -2.465; 2.757
106.5; 16.765; 1.762; -1.873; 2.571
108.0; 17.010; 2.245; -0.511; 2.303
109.5; 17.270; -3.150; 1.403; 3.448
111.0; 17.568; -2.307; 2.337; 3.284
112.5; 17.888; -1.884; 2.528; 3.153
114.0; 18.213; -1.225; 2.831; 3.085
115.5; 18.568; -1.081; 2.883; 3.079
117.0; 18.963; 0.179; 2.969; 2.975
118.5; 19.364; 0.779; 2.752; 2.860
120.0; 19.761; 0.403; 2.863; 2.892
121.5; 20.144; 0.564; 2.871; 2.926
123.0; 20.503; 0.784; 2.797; 2.905
124.5; 20.823; 0.805; 2.785; 2.899
126.0; 21.097; 1.126; 2.570; 2.806
127.5; 21.362; 1.445; 2.277; 2.697
129.0; 21.632; 1.687; 1.975; 2.597
130.5; 21.890; 1.862; 1.676; 2.506
132.0; 22.126; 1.972; 1.412; 2.426
133.5; 22.344; 2.030; 1.190; 2.354
135.0; 22.549; 2.056; 1.001; 2.286
136.5; 22.742; 2.061; 0.831; 2.222
138.0; 22.926; 2.053; 0.670; 2.160
139.5; 23.101; 2.038; 0.511; 2.101
141.0; 23.270; 2.013; 0.362; 2.045
142.5; 23.433; 1.973; 0.259; 1.990
144.0; 23.590; 1.926; 0.190; 1.935
145.5; 23.742; 1.878; 0.123; 1.882
147.0; 23.890; 1.831; 0.052; 1.832
148.5; 24.034; 1.782; 0.001; 1.782
150.0; 24.175; 1.726; 0.000; 1.726
151.5; 24.312; 1.658; -0.091; 1.660
153.0; 24.450; -2.117; -0.519; 2.179
154.5; 24.595; -5.272; -0.714; 5.321
156.0; 24.751; -4.888; -0.571; 4.921
157.5; 24.921; -4.561; -0.283; 4.570
159.0; 25.107; -4.245; -0.000; 4.245
160.5; 25.316; -3.867; 0.285; 3.878
162.0; 25.556; -3.454; 0.773; 3.540
163.5; 25.838; -2.929; 1.539; 3.309
165.0; 26.179; -2.440; 2.014; 3.163
166.5; 26.594; -1.402; 2.708; 3.049
168.0; 27.053; -1.327; 2.759; 3.061
169.5; 27.443; 0.606; 2.800; 2.865
171.0; 27.837; 1.202; 2.556; 2.825
172.5; 28.225; 1.991; 1.407; 2.438
174.0; 28.581; -1.463; -1.407; 2.030
175.5; 28.920; -1.105; -2.857; 3.063
177.0; 29.256; -0.740; -2.915; 3.007
178.5; 29.633; 0.464; -2.843; 2.880
180.0; 30.025; 0.531; -2.828; 2.877
181.5; 30.401; 0.703; -2.825; 2.912
183.0; 30.751; 0.818; -2.779; 2.897
184.5; 31.073; 0.804; -2.784; 2.898
186.0; 31.374; 0.614; -2.862; 2.927
187.5; 31.663; 0.376; -2.948; 2.972
189.0; 31.948; 0.207; -2.998; 3.005
