# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.00261; 23.5; -7.9; -0.4
1.5; 0.137; -0.00583; 22.9; -7.7; -0.9
3.0; 0.270; -0.00961; 21.5; -7.3; -1.5
4.5; 0.400; -0.01338; 19.3; -6.7; -2.1
6.0; 0.528; -0.01736; 16.2; -5.7; -2.8
7.5; 0.656; -0.01878; 14.0; -5.0; -3.1
9.0; 0.787; -0.01374; 0.0; -5.5; -3.3
10.5; 0.925; -0.00624; 0.0; -5.5; -3.2
12.0; 1.071; -0.00216; 0.0; -6.9; -2.8
13.5; 1.225; -0.00192; 0.0; -9.1; -1.9
15.0; 1.387; -0.00459; 0.0; -10.0; -1.2
16.5; 1.559; -0.00687; 0.0; -10.0; -1.0
18.0; 1.749; -0.00947; 0.0; -9.8; -0.9
19.5; 1.964; -0.01292; 0.0; -9.5; -0.9
21.0; 2.210; -0.02820; 0.0; -8.7; -1.3
22.5; 2.501; -0.05527; 0.0; -7.8; -1.7
24.0; 2.856; -0.11391; 0.3; -2.6; -2.7
25.5; 3.265; -0.08634; 0.0; -3.4; -2.5
27.0; 3.661; -0.07590; 1.0; -9.6; -1.0
28.5; 4.228; -0.08132; 17.6; -6.8; -0.7
30.0; 4.888; -0.07180; 10.2; -0.7; -1.6
31.5; 5.299; -0.05443; 15.6; -6.2; -1.7
33.0; 5.641; -0.03859; 14.4; -4.4; -1.5
34.5; 5.944; -0.02911; 15.3; -4.8; -1.4
36.0; 6.219; -0.02398; 15.5; -4.7; -1.4
37.5; 6.474; -0.02083; 15.9; -4.8; -1.4
39.0; 6.710; -0.01656; 16.8; -5.2; -1.2
40.5; 6.931; -0.01165; 18.0; -5.7; -1.0
42.0; 7.139; -0.00730; 19.0; -6.0; -0.7
43.5; 7.333; -0.00347; 20.0; -6.3; -0.4
45.0; 7.516; -0.00056; 20.7; -6.6; -0.1
46.5; 7.691; 0.00009; 21.2; -6.8; 0.0
48.0; 7.859; 0.00594; 20.6; -6.6; 0.6
49.5; 8.022; 0.01641; 17.1; -5.4; 1.9
51.0; 8.182; 0.02756; 9.4; -2.7; 3.1
52.5; 8.342; 0.02794; 4.0; -0.3; 3.4
54.0; 8.505; 0.01870; 3.5; -0.0; 3.4
55.5; 8.671; 0.00968; 3.5; -6.3; 3.3
57.0; 8.841; 0.00528; 4.8; -7.5; 3.2
58.5; 9.018; 0.00515; 5.2; -7.9; 3.1
60.0; 9.200; 0.00727; 5.3; -7.9; 3.1
61.5; 9.389; 0.01040; 5.3; -7.9; 3.0
63.0; 9.587; 0.01407; 5.5; -7.9; 3.0
64.5; 9.797; 0.01828; 5.7; -7.6; 3.0
66.0; 10.020; 0.02274; 1.4; 0.0; 3.0
67.5; 10.254; 0.02788; 1.6; 0.0; 3.0
69.0; 10.493; 0.03393; 2.0; 0.0; 3.0
70.5; 10.736; 0.03985; 2.6; 0.0; 2.9
72.0; 10.982; 0.04378; 3.7; 0.0; 2.9
73.5; 11.226; 0.04578; 4.9; 0.0; 2.8
75.0; 11.466; 0.04590; 5.6; -0.4; 2.8
76.5; 11.701; 0.04149; 8.0; -1.6; 2.6
78.0; 11.933; 0.03692; 10.1; -2.6; 2.4
79.5; 12.163; 0.03146; 12.1; -3.5; 2.2
81.0; 12.389; 0.02483; 14.3; -4.4; 1.9
82.5; 12.608; 0.01543; 17.1; -5.5; 1.3
84.0; 12.819; 0.00011; 19.8; -6.3; 0.1
85.5; 13.019; -0.01996; 0.0; -3.6; -1.8
87.0; 13.219; -0.02739; 0.0; -5.6; -2.6
88.5; 13.430; -0.02683; 0.2; -5.3; -2.6
90.0; 13.652; -0.03104; 0.7; -5.6; -2.6
91.5; 13.885; -0.04020; 1.7; -5.9; -2.6
93.0; 14.136; -0.05199; 3.4; -6.5; -2.7
94.5; 14.413; -0.06252; 5.4; -7.2; -2.8
96.0; 14.716; -0.06631; 0.7; -0.0; -2.8
97.5; 15.035; -0.06335; 2.2; 0.0; -2.8
99.0; 15.356; -0.05465; 5.6; 0.0; -2.6
100.5; 15.665; -0.06716; 6.3; 0.0; -2.5
102.0; 15.955; -0.06290; 6.7; -0.7; -2.6
103.5; 16.235; -0.05014; 10.1; -2.7; -2.3
105.0; 16.506; -0.03274; 14.6; -5.0; -1.8
106.5; 16.765; -0.00653; 14.9; -3.0; -0.5
108.0; 17.010; 0.02344; 0.0; -9.0; 1.3
109.5; 17.270; 0.04617; 0.0; -6.3; 2.2
111.0; 17.568; 0.06410; 1.2; -6.3; 2.4
112.5; 17.888; 0.09383; 4.5; -7.1; 2.6
114.0; 18.213; 0.11210; 2.1; -4.2; 2.7
115.5; 18.568; 0.10617; 2.5; 0.0; 2.8
117.0; 18.963; 0.09749; 4.8; 0.0; 2.6
118.5; 19.364; 0.10944; 3.6; 0.0; 2.7
120.0; 19.761; 0.09784; 4.3; 0.0; 2.7
121.5; 20.144; 0.08439; 5.2; 0.0; 2.6
123.0; 20.503; 0.07516; 5.4; -0.0; 2.6
124.5; 20.823; 0.06144; 8.7; -2.0; 2.4
126.0; 21.097; 0.04767; 11.5; -3.4; 2.1
