# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 10.80; 0.00027; -0.00558; -0.58528; -0.03220
1.5; 0.137; 11.03; 0.00241; -0.04694; -0.62778; -0.02561
3.0; 0.270; 11.22; 0.00610; -0.10270; -0.64924; -0.00938
4.5; 0.400; 11.36; 0.01108; -0.16802; -0.63153; 0.01885
6.0; 0.528; 11.44; 0.01704; -0.23249; -0.55571; 0.05919
7.5; 0.656; 11.44; 0.02460; -0.30118; -0.40510; 0.10520
9.0; 0.787; 11.38; 0.03060; -0.32046; -0.17539; 0.14550
10.5; 0.925; 10.80; 0.04298; -0.42070; 0.11347; 0.15581
12.0; 1.071; 10.22; 0.04750; -0.32206; 0.41203; 0.13864
13.5; 1.225; 9.59; 0.03991; -0.20803; 0.66434; 0.10193
15.0; 1.387; 8.89; 0.02409; -0.11741; 0.82866; 0.05239
16.5; 1.559; 8.15; 0.01334; -0.11563; 0.88998; -0.00542
18.0; 1.749; 7.38; 0.00939; -0.12684; 0.85653; -0.05976
19.5; 1.964; 6.58; 0.00798; -0.14587; 0.74631; -0.10232
21.0; 2.210; 5.73; 0.00643; -0.16737; 0.57699; -0.13360
22.5; 2.501; 4.85; 0.00617; -0.33095; 0.34649; -0.17896
24.0; 2.856; 3.90; 0.00055; -0.49273; 0.02756; -0.23349
25.5; 3.265; 3.41; 0.03160; -1.02123; -0.35804; -0.29241
27.0; 3.661; 2.82; 0.06444; -1.00205; -0.57146; -0.09223
28.5; 4.228; 1.19; 0.28389; -1.48553; -0.42545; -0.09214
30.0; 4.888; 2.72; -0.03137; -0.30193; -0.58604; -0.18325
31.5; 5.299; 3.62; -0.01351; -0.51775; -0.73920; -0.04570
33.0; 5.641; 4.31; -0.00242; -0.35028; -0.77053; 0.00273
34.5; 5.944; 4.95; 0.00222; -0.32372; -0.74058; 0.03246
36.0; 6.219; 5.52; 0.00504; -0.26315; -0.67885; 0.03973
37.5; 6.474; 6.05; 0.00663; -0.24615; -0.62095; 0.02258
39.0; 6.710; 6.53; 0.00791; -0.22934; -0.60049; -0.01185
40.5; 6.931; 6.97; 0.00788; -0.18808; -0.63086; -0.04345
42.0; 7.139; 7.41; 0.00660; -0.13520; -0.69693; -0.05689
43.5; 7.333; 7.83; 0.00482; -0.08633; -0.76921; -0.04930
45.0; 7.516; 8.24; 0.00278; -0.03935; -0.81920; -0.02414
46.5; 7.691; 8.63; 0.00082; -0.00238; -0.82745; 0.00951
48.0; 7.859; 8.99; 0.00005; 0.00222; -0.79112; 0.03684
49.5; 8.022; 9.30; -0.00428; 0.09849; -0.71884; 0.06307
51.0; 8.182; 9.49; -0.01466; 0.26232; -0.61141; 0.09882
52.5; 8.342; 9.46; -0.03370; 0.44267; -0.46110; 0.14834
54.0; 8.505; 9.28; -0.05113; 0.48844; -0.26617; 0.19147
55.5; 8.671; 9.09; -0.05599; 0.37662; -0.04156; 0.20890
57.0; 8.841; 8.64; -0.06025; 0.42921; 0.18588; 0.20698
58.5; 9.018; 8.20; -0.06320; 0.40401; 0.38936; 0.18834
60.0; 9.200; 7.78; -0.06301; 0.40105; 0.54725; 0.15298
61.5; 9.389; 7.37; -0.06163; 0.41239; 0.64692; 0.11102
63.0; 9.587; 6.96; -0.06019; 0.43246; 0.69157; 0.07570
64.5; 9.797; 6.56; -0.05955; 0.46283; 0.69805; 0.05571
66.0; 10.020; 6.19; -0.06237; 0.52619; 0.68845; 0.05502
67.5; 10.254; 6.02; -0.06109; 0.49993; 0.68463; 0.06390
69.0; 10.493; 5.87; -0.05655; 0.50605; 0.69840; 0.07309
70.5; 10.736; 5.75; -0.05091; 0.51242; 0.73135; 0.08006
72.0; 10.982; 5.68; -0.04502; 0.52122; 0.77784; 0.08031
73.5; 11.226; 5.69; -0.03718; 0.50683; 0.82433; 0.06577
75.0; 11.466; 5.77; -0.03045; 0.50179; 0.84858; 0.03373
76.5; 11.701; 5.87; -0.02849; 0.50453; 0.82810; -0.00524
78.0; 11.933; 6.05; -0.02364; 0.45154; 0.75621; -0.04461
79.5; 12.163; 6.28; -0.01969; 0.40718; 0.64093; -0.07189
81.0; 12.389; 6.57; -0.01682; 0.35401; 0.49793; -0.08683
82.5; 12.608; 6.91; -0.01379; 0.28443; 0.33905; -0.09695
84.0; 12.819; 7.31; -0.00927; 0.17166; 0.16687; -0.10940
85.5; 13.019; 7.79; -0.00146; -0.03458; -0.02292; -0.12953
87.0; 13.219; 7.33; 0.01475; -0.33773; -0.23396; -0.16215
88.5; 13.430; 6.76; 0.02976; -0.44675; -0.45398; -0.17398
90.0; 13.652; 6.21; 0.03344; -0.42555; -0.63731; -0.13775
91.5; 13.885; 5.68; 0.03198; -0.44325; -0.73804; -0.07110
93.0; 14.136; 5.18; 0.03106; -0.50554; -0.75203; -0.01731
94.5; 14.413; 4.73; 0.03318; -0.59544; -0.71948; -0.00596
96.0; 14.716; 4.36; 0.03900; -0.69428; -0.69476; -0.03407
97.5; 15.035; 4.19; 0.04536; -0.75801; -0.71231; -0.07389
99.0; 15.356; 4.15; 0.05304; -0.78471; -0.76383; -0.09694
100.5; 15.665; 4.39; 0.02016; -0.45556; -0.81872; -0.05208
102.0; 15.955; 4.69; 0.00980; -0.59600; -0.83058; 0.00477
103.5; 16.235; 4.94; 0.01432; -0.57015; -0.78435; 0.03484
105.0; 16.506; 5.28; 0.01244; -0.45946; -0.69618; 0.06428
106.5; 16.765; 5.74; 0.00888; -0.29451; -0.55984; 0.10315
108.0; 17.010; 6.31; 0.00314; 0.00067; -0.35556; 0.15558
109.5; 17.270; 5.47; -0.00789; 0.34788; -0.07181; 0.21749
111.0; 17.568; 4.74; -0.01521; 0.49754; 0.27019; 0.24562
112.5; 17.888; 4.11; -0.01341; 0.57170; 0.56033; 0.17231
114.0; 18.213; 3.68; -0.01549; 0.75224; 0.67464; 0.02851
115.5; 18.568; 3.27; -0.02802; 0.94072; 0.61050; -0.07137
117.0; 18.963; 3.31; -0.03293; 0.93025; 0.45835; -0.09617
118.5; 19.364; 3.60; -0.00117; 0.66542; 0.28181; -0.12385
120.0; 19.761; 3.76; -0.00103; 0.81017; 0.13029; -0.06141
121.5; 20.144; 3.99; -0.00574; 0.72667; 0.13553; 0.08390
123.0; 20.503; 4.27; -0.00779; 0.66292; 0.34381; 0.19610
124.5; 20.823; 4.53; -0.01126; 0.63091; 0.60546; 0.16417
126.0; 21.097; 4.84; -0.01026; 0.52751; 0.69533; -0.01596
127.5; 21.362; 5.23; -0.00943; 0.42637; 0.53821; -0.17529
129.0; 21.632; 5.70; -0.00921; 0.33397; 0.22142; -0.21638
130.5; 21.890; 6.19; -0.00871; 0.26040; -0.10097; -0.18220
132.0; 22.126; 6.67; -0.00796; 0.20489; -0.35060; -0.13048
133.5; 22.344; 7.12; -0.00714; 0.16253; -0.52396; -0.08646
135.0; 22.549; 7.56; -0.00629; 0.12904; -0.63827; -0.05382
136.5; 22.742; 7.97; -0.00540; 0.10127; -0.70935; -0.03040
138.0; 22.926; 8.35; -0.00447; 0.07706; -0.74963; -0.01428
139.5; 23.101; 8.72; -0.00349; 0.05511; -0.76869; -0.00381
141.0; 23.270; 9.07; -0.00252; 0.03630; -0.77391; 0.00236
142.5; 23.433; 9.40; -0.00182; 0.02531; -0.77080; 0.00576
144.0; 23.590; 9.71; -0.00134; 0.01799; -0.76321; 0.00726
145.5; 23.742; 10.01; -0.00088; 0.01047; -0.75398; 0.00701
147.0; 23.890; 10.29; -0.00040; 0.00297; -0.74570; 0.00506
148.5; 24.034; 10.55; -0.00004; -0.00150; -0.74073; 0.00181
150.0; 24.175; 10.80; 0.00000; 0.00009; -0.74073; -0.00188
151.5; 24.312; 11.04; 0.00056; -0.01145; -0.74681; -0.00679
153.0; 24.450; 10.74; 0.00361; -0.06583; -0.76057; -0.01587
154.5; 24.595; 9.95; 0.00597; -0.07778; -0.78283; -0.02308
156.0; 24.751; 9.16; 0.00518; -0.05028; -0.80903; -0.02203
157.5; 24.921; 8.37; 0.00276; -0.01918; -0.82843; -0.01048
159.0; 25.107; 7.55; 0.00027; 0.01083; -0.82760; 0.00945
160.5; 25.316; 6.72; -0.00195; 0.05179; -0.79785; 0.03113
162.0; 25.556; 5.86; -0.00476; 0.15377; -0.73706; 0.05452
163.5; 25.838; 5.01; -0.00771; 0.35042; -0.62812; 0.10069
165.0; 26.179; 4.14; -0.00559; 0.49741; -0.42007; 0.18229
166.5; 26.594; 3.52; -0.00855; 0.74827; -0.04274; 0.30823
168.0; 27.053; 2.87; -0.02853; 1.06381; 0.40163; 0.28270
169.5; 27.443; 3.09; 0.00492; 0.69047; 0.53134; -0.07370
171.0; 27.837; 3.59; 0.01410; 0.73353; 0.24364; -0.29253
172.5; 28.225; 4.40; -0.00044; 0.09507; -0.20047; -0.24750
174.0; 28.581; 3.85; -0.00644; -0.71121; -0.57089; -0.22499
175.5; 28.920; 3.46; 0.00935; -0.82607; -0.79371; -0.10528
177.0; 29.256; 3.19; 0.01880; -0.95690; -0.79132; 0.06503
178.5; 29.633; 3.36; -0.00302; -0.76300; -0.65007; 0.12118
180.0; 30.025; 3.58; -0.00637; -0.82449; -0.52506; 0.06260
181.5; 30.401; 3.86; 0.00026; -0.73519; -0.49974; -0.02008
183.0; 30.751; 4.16; 0.00487; -0.67953; -0.56200; -0.06806
184.5; 31.073; 4.42; 0.00951; -0.64741; -0.65490; -0.07588
186.0; 31.374; 4.60; 0.01511; -0.64622; -0.73313; -0.06223
187.5; 31.663; 4.70; 0.02113; -0.65184; -0.77941; -0.04306
189.0; 31.948; 4.74; 0.02593; -0.65095; -0.79278; -0.02504
190.5; 32.231; 4.76; 0.02819; -0.64035; -0.78048; -0.01288
192.0; 32.517; 4.78; 0.02882; -0.63323; -0.75761; -0.01342
193.5; 32.803; 4.82; 0.02753; -0.61903; -0.74460; -0.02564
195.0; 33.088; 4.89; 0.02605; -0.60935; -0.75387; -0.04075
196.5; 33.366; 4.99; 0.02476; -0.59469; -0.78027; -0.04563
198.0; 33.636; 5.13; 0.02309; -0.57077; -0.80218; -0.03089
199.5; 33.898; 5.28; 0.02309; -0.55802; -0.79567; -0.00520
201.0; 34.156; 5.41; 0.02465; -0.55193; -0.75501; 0.01416
202.5; 34.409; 5.61; 0.02086; -0.48730; -0.69063; 0.03149
204.0; 34.657; 5.89; 0.01733; -0.42936; -0.60604; 0.04934
205.5; 34.895; 6.21; 0.01511; -0.37009; -0.49675; 0.06966
207.0; 35.125; 6.56; 0.01341; -0.31251; -0.35770; 0.09082
208.5; 35.345; 6.93; 0.01196; -0.26153; -0.19033; 0.10727
210.0; 35.556; 7.32; 0.01067; -0.21817; -0.00520; 0.11433
211.5; 35.758; 7.69; 0.00950; -0.18196; 0.18116; 0.10996
213.0; 35.950; 8.06; 0.00842; -0.15180; 0.35093; 0.09520
214.5; 36.133; 8.41; 0.00741; -0.12648; 0.49141; 0.07504
216.0; 36.308; 8.75; 0.00647; -0.10484; 0.59961; 0.05548
217.5; 36.477; 9.08; 0.00557; -0.08600; 0.67938; 0.03927
219.0; 36.639; 9.39; 0.00471; -0.06934; 0.73604; 0.02642
220.5; 36.796; 9.69; 0.00388; -0.05435; 0.77434; 0.01642
222.0; 36.949; 9.97; 0.00306; -0.04068; 0.79827; 0.00888
223.5; 37.097; 10.25; 0.00226; -0.02801; 0.81134; 0.00350
225.0; 37.242; 10.51; 0.00147; -0.01611; 0.81662; 0.00006
226.5; 37.383; 10.76; 0.00069; -0.00500; 0.81687; -0.00166
228.0; 37.520; 11.00; 0.00006; 0.00283; 0.81446; -0.00213
229.5; 37.655; 11.22; -0.00000; -0.00016; 0.81085; -0.00273
231.0; 37.788; 11.44; 0.00000; 0.00001; 0.80633; -0.00329
232.5; 37.918; 11.64; 0.00000; -0.00000; 0.80104; -0.00375
234.0; 38.045; 11.84; 0.00000; -0.00000; 0.79513; -0.00412
235.5; 38.171; 12.02; 0.00000; -0.00000; 0.78872; -0.00440
237.0; 38.295; 12.20; 0.00000; 0.00000; 0.78197; -0.00459
238.5; 38.417; 12.37; -0.00000; 0.00000; 0.77501; -0.00468
240.0; 38.537; 12.53; -0.00000; 0.00000; 0.76798; -0.00468
241.5; 38.656; 12.69; -0.00000; 0.00000; 0.76102; -0.00459
243.0; 38.774; 12.84; -0.00000; 0.00000; 0.75425; -0.00442
244.5; 38.890; 12.98; -0.00000; 0.00000; 0.74777; -0.00422
246.0; 39.005; 13.12; -0.00000; 0.00000; 0.74159; -0.00402
247.5; 39.119; 13.25; -0.00000; 0.00000; 0.73569; -0.00385
249.0; 39.232; 13.37; -0.00000; 0.00000; 0.73002; -0.00371
250.5; 39.343; 13.49; -0.00000; 0.00000; 0.72453; -0.00361
252.0; 39.454; 13.61; -0.00000; 0.00000; 0.71918; -0.00353
253.5; 39.564; 13.72; -0.00000; 0.00000; 0.71393; -0.00348
255.0; 39.673; 13.82; -0.00000; 0.00000; 0.70872; -0.00347
256.5; 39.781; 13.93; -0.00000; 0.00000; 0.70352; -0.00348
258.0; 39.888; 14.03; -0.00000; 0.00000; 0.69826; -0.00353
259.5; 39.995; 14.12; -0.00000; 0.00000; 0.69292; -0.00360
261.0; 40.100; 14.21; -0.00000; 0.00000; 0.68743; -0.00371
262.5; 40.206; 14.30; -0.00000; 0.00000; 0.68177; -0.00385
264.0; 40.310; 14.38; -0.00000; 0.00000; 0.67587; -0.00402
265.5; 40.414; 14.47; -0.00000; 0.00000; 0.66969; -0.00422
267.0; 40.518; 14.54; -0.00000; 0.00000; 0.66320; -0.00445
268.5; 40.620; 14.62; -0.00000; 0.00000; 0.65633; -0.00471
270.0; 40.723; 14.69; -0.00000; 0.00000; 0.64905; -0.00500
271.5; 40.825; 14.76; -0.00000; 0.00001; 0.64131; -0.00533
273.0; 40.926; 14.83; -0.00000; 0.00001; 0.63306; -0.00568
274.5; 41.027; 14.90; -0.00030; 0.00606; 0.62439; -0.00553
276.0; 41.127; 14.95; -0.00167; 0.03096; 0.61625; -0.00314
277.5; 41.227; 15.00; -0.00391; 0.06179; 0.61117; 0.00229
279.0; 41.327; 15.00; -0.00589; 0.07867; 0.61250; 0.00957
280.5; 41.427; 15.00; -0.00643; 0.07090; 0.62266; 0.01636
282.0; 41.527; 15.00; -0.00556; 0.05069; 0.64192; 0.02117
283.5; 41.627; 15.00; -0.00371; 0.02364; 0.66852; 0.02328
285.0; 41.727; 15.00; -0.00134; -0.00551; 0.69928; 0.02242
286.5; 41.827; 15.00; 0.00114; -0.03273; 0.73031; 0.01877
288.0; 41.927; 15.00; 0.00334; -0.05367; 0.75766; 0.01290
289.5; 42.027; 15.00; 0.00485; -0.06347; 0.77806; 0.00588
291.0; 42.127; 15.00; 0.00522; -0.05747; 0.78949; -0.00074
292.5; 42.229; 14.49; 0.00553; -0.05354; 0.79176; -0.00706
294.0; 42.336; 13.63; 0.00427; -0.02042; 0.78553; -0.01091
295.5; 42.449; 12.79; 0.00177; 0.00841; 0.77284; -0.01169
297.0; 42.570; 11.96; 0.00022; 0.00868; 0.75665; -0.01166
298.5; 42.700; 11.14; 0.00000; -0.00035; 0.73878; -0.01238
300.0; 42.840; 10.33; 0.00005; -0.00084; 0.71950; -0.01340
301.5; 42.991; 9.52; 0.00081; -0.01547; 0.69813; -0.01619
303.0; 43.156; 8.72; 0.00243; -0.04166; 0.67184; -0.02252
304.5; 43.336; 7.92; 0.00429; -0.07181; 0.63615; -0.03180
306.0; 43.537; 7.11; 0.00562; -0.10109; 0.58820; -0.04130
307.5; 43.763; 6.29; 0.00691; -0.15776; 0.52531; -0.05449
309.0; 44.022; 5.43; 0.00636; -0.20355; 0.43767; -0.07484
310.5; 44.328; 4.55; 0.00594; -0.40964; 0.28514; -0.14232
312.0; 44.706; 3.61; -0.00262; -0.55322; -0.02136; -0.26165
313.5; 45.155; 3.04; 0.02324; -1.07453; -0.50483; -0.38240
315.0; 45.546; 2.42; 0.07263; -1.21184; -0.78098; -0.12011
316.5; 46.074; 1.00; 0.35234; -1.57031; -0.59963; -0.03485
318.0; 46.741; 2.53; -0.04592; -0.40259; -0.67665; -0.12203
319.5; 47.162; 3.38; -0.01979; -0.61208; -0.75900; 0.01023
321.0; 47.524; 4.07; -0.00501; -0.38534; -0.72218; 0.04828
322.5; 47.844; 4.76; 0.00094; -0.30530; -0.63493; 0.07054
