# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; 0.733; 2.162; 2.283
1.5; 0.138; 0.610; 2.312; 2.391
3.0; 0.274; 0.485; 2.458; 2.505
4.5; 0.410; 0.363; 2.598; 2.623
6.0; 0.544; 0.245; 2.728; 2.739
7.5; 0.678; 0.134; 2.847; 2.850
9.0; 0.809; 0.031; 2.953; 2.953
10.5; 0.940; -0.061; 3.046; 3.047
12.0; 1.069; -0.142; 3.125; 3.129
13.5; 1.196; -0.211; 3.192; 3.199
15.0; 1.321; -0.270; 3.246; 3.257
16.5; 1.445; -0.322; 3.294; 3.310
18.0; 1.566; -0.358; 3.328; 3.347
19.5; 1.685; -0.325; 3.308; 3.323
21.0; 1.797; -0.204; 3.213; 3.220
22.5; 1.898; -0.091; 3.118; 3.120
24.0; 1.987; -0.050; 3.084; 3.084
25.5; 2.069; -0.054; 3.089; 3.089
27.0; 2.154; -0.044; 3.081; 3.081
28.5; 2.251; 0.021; 3.023; 3.023
30.0; 2.362; 0.131; 2.917; 2.920
31.5; 2.486; 0.246; 2.796; 2.807
33.0; 2.619; 0.352; 2.673; 2.696
34.5; 2.758; 0.448; 2.550; 2.589
36.0; 2.898; 0.528; 2.435; 2.492
37.5; 3.037; 0.593; 2.331; 2.406
39.0; 3.173; 0.647; 2.233; 2.325
40.5; 3.308; 0.695; 2.138; 2.248
42.0; 3.441; 0.737; 2.044; 2.173
43.5; 3.573; 0.772; 1.954; 2.101
45.0; 3.704; 0.801; 1.867; 2.032
46.5; 3.833; 0.825; 1.785; 1.966
48.0; 3.961; 0.843; 1.707; 1.904
49.5; 4.087; 0.857; 1.633; 1.845
51.0; 4.211; 0.867; 1.564; 1.788
52.5; 4.333; 0.873; 1.500; 1.735
54.0; 4.454; 0.875; 1.440; 1.685
55.5; 4.573; 0.864; 1.407; 1.651
57.0; 4.690; 0.798; 1.498; 1.697
58.5; 4.806; 0.582; 1.876; 1.964
60.0; 4.922; 0.156; 2.519; 2.524
61.5; 5.038; -0.553; 3.319; 3.365
63.0; 5.157; -1.455; 3.983; 4.240
64.5; 5.279; -1.978; 4.202; 4.644
66.0; 5.405; -1.852; 4.142; 4.537
67.5; 5.536; -3.314; 3.988; 5.186
69.0; 5.675; -3.491; 3.858; 5.203
70.5; 5.822; -3.319; 3.714; 4.981
72.0; 5.978; -3.217; 3.547; 4.789
73.5; 6.143; -3.128; 3.373; 4.600
75.0; 6.319; -2.999; 3.221; 4.402
76.5; 6.507; -2.824; 3.107; 4.198
78.0; 6.707; -2.631; 3.017; 4.003
79.5; 6.915; -2.445; 2.945; 3.828
81.0; 7.113; -2.247; 2.915; 3.680
82.5; 7.273; -2.029; 2.940; 3.573
84.0; 7.387; -1.846; 2.977; 3.503
85.5; 7.493; -1.700; 2.998; 3.447
87.0; 7.637; -1.563; 3.001; 3.383
88.5; 7.840; -1.424; 2.989; 3.311
90.0; 8.098; -1.249; 2.984; 3.235
91.5; 8.399; -1.071; 2.993; 3.179
93.0; 8.721; -0.159; 3.046; 3.050
94.5; 9.041; 0.614; 2.850; 2.915
96.0; 9.334; 0.407; 2.925; 2.953
97.5; 9.576; 0.668; 2.848; 2.925
99.0; 9.761; 0.758; 2.810; 2.911
100.5; 9.932; 0.816; 2.776; 2.893
102.0; 10.128; 1.022; 2.635; 2.827
103.5; 10.355; 1.246; 2.445; 2.744
105.0; 10.598; 1.437; 2.239; 2.661
106.5; 10.840; 1.597; 2.021; 2.576
108.0; 11.073; 1.713; 1.814; 2.495
109.5; 11.293; 1.787; 1.635; 2.422
111.0; 11.501; 1.825; 1.487; 2.354
112.5; 11.698; 1.839; 1.366; 2.291
114.0; 11.885; 1.835; 1.268; 2.231
115.5; 12.065; 1.819; 1.189; 2.173
117.0; 12.237; 1.794; 1.124; 2.117
118.5; 12.404; 1.762; 1.074; 2.064
120.0; 12.565; 1.726; 1.035; 2.012
121.5; 12.722; 1.685; 1.008; 1.963
123.0; 12.875; 1.640; 0.993; 1.917
124.5; 13.025; 1.591; 0.990; 1.874
126.0; 13.171; 1.538; 1.001; 1.835
127.5; 13.316; 1.480; 1.029; 1.803
129.0; 13.457; 1.416; 1.079; 1.780
130.5; 13.594; 1.341; 1.158; 1.772
132.0; 13.725; 1.252; 1.276; 1.787
133.5; 13.850; 1.149; 1.424; 1.830
135.0; 13.967; 1.071; 1.524; 1.863
136.5; 14.077; 1.091; 1.428; 1.797
138.0; 14.183; 1.222; 1.061; 1.618
139.5; 14.290; 1.415; 0.308; 1.449
141.0; 14.407; 1.189; -0.957; 1.527
142.5; 14.537; -2.821; -2.717; 3.917
144.0; 14.683; -4.272; -3.397; 5.458
145.5; 14.841; -3.760; -3.466; 5.114
147.0; 15.004; -3.506; -3.351; 4.850
148.5; 15.166; -3.305; -3.223; 4.616
150.0; 15.321; -3.110; -3.128; 4.411
151.5; 15.470; -2.944; -3.046; 4.236
153.0; 15.611; -2.805; -2.975; 4.089
154.5; 15.741; -2.685; -2.917; 3.965
156.0; 15.860; -2.556; -2.889; 3.857
157.5; 15.979; -2.366; -2.912; 3.752
159.0; 16.123; -2.172; -2.926; 3.644
160.5; 16.317; -2.064; -2.866; 3.532
162.0; 16.564; -2.042; -2.735; 3.413
163.5; 16.853; -1.915; -2.668; 3.284
165.0; 17.174; -1.552; -2.770; 3.175
166.5; 17.524; -1.122; -2.891; 3.101
168.0; 17.914; -1.159; -2.863; 3.089
169.5; 18.321; 0.323; -2.968; 2.986
171.0; 18.656; 1.173; -2.566; 2.822
172.5; 18.876; 1.183; -2.544; 2.806
174.0; 19.037; 1.040; -2.647; 2.844
175.5; 19.188; 1.079; -2.617; 2.831
177.0; 19.332; 1.237; -2.495; 2.785
178.5; 19.477; 1.416; -2.335; 2.731
180.0; 19.650; 1.591; -2.144; 2.670
181.5; 19.872; 1.745; -1.930; 2.602
183.0; 20.128; 1.878; -1.689; 2.526
184.5; 20.391; 1.977; -1.439; 2.445
186.0; 20.642; 2.032; -1.213; 2.367
187.5; 20.870; 2.053; -1.022; 2.293
189.0; 21.076; 2.056; -0.852; 2.225
190.5; 21.261; 2.054; -0.675; 2.163
192.0; 21.429; 2.065; -0.431; 2.109
193.5; 21.584; 2.091; -0.012; 2.091
195.0; 21.729; 1.866; 0.716; 1.998
196.5; 21.873; -4.035; 2.043; 4.523
198.0; 22.025; -3.408; 2.552; 4.258
199.5; 22.187; -3.119; 2.597; 4.059
201.0; 22.364; -2.998; 2.450; 3.871
202.5; 22.557; -2.901; 2.269; 3.683
204.0; 22.771; -2.759; 2.158; 3.503
205.5; 23.011; -2.545; 2.177; 3.349
207.0; 23.281; -2.190; 2.408; 3.255
208.5; 23.568; -0.997; 3.033; 3.192
210.0; 23.858; -1.300; 2.811; 3.096
211.5; 24.130; -0.789; 3.003; 3.105
213.0; 24.375; -0.912; 2.921; 3.060
214.5; 24.595; -0.051; 2.970; 2.970
216.0; 24.778; 0.577; 2.801; 2.860
217.5; 24.916; 0.973; 2.654; 2.827
219.0; 25.061; 0.942; 2.674; 2.835
220.5; 25.288; 1.028; 2.660; 2.852
222.0; 25.597; 1.118; 2.588; 2.819
223.5; 25.931; 1.458; 2.284; 2.709
225.0; 26.246; 1.779; 1.890; 2.596
226.5; 26.532; 1.977; 1.535; 2.503
228.0; 26.788; 2.074; 1.260; 2.426
229.5; 27.020; 2.107; 1.055; 2.357
231.0; 27.232; 2.108; 0.899; 2.292
232.5; 27.428; 2.091; 0.772; 2.229
234.0; 27.611; 2.064; 0.664; 2.168
235.5; 27.783; 2.032; 0.567; 2.109
237.0; 27.946; 1.997; 0.477; 2.053
238.5; 28.103; 1.960; 0.388; 1.998
240.0; 28.256; 1.920; 0.306; 1.944
241.5; 28.405; 1.868; 0.282; 1.889
243.0; 28.551; 1.770; 0.455; 1.827
244.5; 28.696; 1.609; 0.813; 1.803
246.0; 28.838; 1.367; 1.299; 1.886
247.5; 28.980; 1.012; 1.894; 2.147
249.0; 29.121; 0.517; 2.548; 2.600
250.5; 29.264; -0.101; 3.162; 3.164
252.0; 29.409; -0.744; 3.609; 3.685
253.5; 29.558; -1.197; 3.810; 3.993
255.0; 29.712; -1.383; 3.849; 4.090
256.5; 29.870; -1.495; 3.826; 4.107
258.0; 30.032; -1.512; 3.779; 4.070
259.5; 30.197; -1.269; 3.691; 3.903
261.0; 30.369; -2.402; 3.545; 4.282
262.5; 30.555; -2.227; 3.460; 4.115
264.0; 30.756; -2.046; 3.389; 3.959
265.5; 30.963; -1.791; 3.363; 3.810
267.0; 31.159; -0.837; 3.374; 3.476
268.5; 31.339; -0.761; 3.348; 3.433
270.0; 31.509; -0.669; 3.323; 3.390
271.5; 31.674; -0.555; 3.299; 3.345
273.0; 31.834; -0.415; 3.272; 3.299
274.5; 31.990; -0.247; 3.238; 3.248
276.0; 32.139; -0.067; 3.196; 3.196
277.5; 32.289; 0.077; 3.155; 3.155
279.0; 32.447; 0.132; 3.137; 3.140
280.5; 32.619; 0.153; 3.128; 3.131
282.0; 32.804; 0.343; 3.035; 3.055
283.5; 33.001; 0.571; 2.900; 2.956
285.0; 33.206; 0.747; 2.773; 2.872
286.5; 33.417; 0.916; 2.628; 2.783
288.0; 33.632; 1.077; 2.462; 2.687
289.5; 33.847; 1.218; 2.285; 2.590
291.0; 34.057; 1.334; 2.108; 2.495
292.5; 34.258; 1.424; 1.939; 2.406
294.0; 34.446; 1.489; 1.785; 2.324
295.5; 34.621; 1.531; 1.650; 2.251
297.0; 34.784; 1.556; 1.534; 2.185
298.5; 34.939; 1.569; 1.430; 2.123
300.0; 35.090; 1.575; 1.332; 2.063
301.5; 35.237; 1.574; 1.241; 2.004
303.0; 35.383; 1.556; 1.181; 1.953
304.5; 35.527; 1.493; 1.222; 1.930
306.0; 35.670; 1.402; 1.328; 1.931
307.5; 35.813; 1.302; 1.451; 1.949
309.0; 35.954; 1.198; 1.581; 1.984
310.5; 36.095; 1.088; 1.719; 2.035
312.0; 36.236; 0.974; 1.863; 2.103
313.5; 36.375; 0.855; 2.012; 2.186
315.0; 36.514; 0.733; 2.162; 2.283
