# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.01272; 19.1; -6.7; 2.2
1.5; 0.138; 0.01339; 18.6; -6.5; 2.3
3.0; 0.274; 0.01406; 18.1; -6.4; 2.4
4.5; 0.410; 0.01470; 17.5; -6.2; 2.6
6.0; 0.544; 0.01530; 17.0; -6.0; 2.7
7.5; 0.678; 0.01586; 16.4; -5.8; 2.8
9.0; 0.809; 0.01637; 15.8; -5.7; 2.8
10.5; 0.940; 0.01683; 15.3; -5.5; 2.9
12.0; 1.069; 0.01723; 14.8; -5.3; 3.0
13.5; 1.196; 0.01760; 14.4; -5.2; 3.0
15.0; 1.321; 0.01797; 13.9; -5.0; 3.1
16.5; 1.445; 0.01821; 13.5; -4.9; 3.1
18.0; 1.566; 0.01790; 13.6; -4.9; 3.1
19.5; 1.685; 0.01705; 14.2; -5.1; 3.0
21.0; 1.797; 0.01661; 14.8; -5.3; 2.9
22.5; 1.898; 0.01684; 14.9; -5.3; 2.9
24.0; 1.987; 0.01717; 14.9; -5.3; 2.9
25.5; 2.069; 0.01700; 14.9; -5.3; 2.9
27.0; 2.154; 0.01638; 15.2; -5.4; 2.8
28.5; 2.251; 0.01569; 15.9; -5.6; 2.7
30.0; 2.362; 0.01507; 16.6; -5.8; 2.6
31.5; 2.486; 0.01439; 17.2; -6.1; 2.5
33.0; 2.619; 0.01367; 17.9; -6.3; 2.4
34.5; 2.758; 0.01297; 18.5; -6.5; 2.3
36.0; 2.898; 0.01231; 19.1; -6.7; 2.2
37.5; 3.037; 0.01167; 19.6; -6.9; 2.1
39.0; 3.173; 0.01104; 20.1; -7.0; 2.0
40.5; 3.308; 0.01042; 20.6; -7.2; 1.9
42.0; 3.441; 0.00983; 21.1; -7.4; 1.8
43.5; 3.573; 0.00927; 21.5; -7.5; 1.7
45.0; 3.704; 0.00875; 22.0; -7.7; 1.7
46.5; 3.833; 0.00825; 22.4; -7.8; 1.6
48.0; 3.961; 0.00779; 22.8; -8.0; 1.5
49.5; 4.087; 0.00737; 23.1; -8.1; 1.5
51.0; 4.211; 0.00697; 23.5; -8.2; 1.4
52.5; 4.333; 0.00661; 23.8; -8.4; 1.3
54.0; 4.454; 0.00641; 24.0; -8.5; 1.3
55.5; 4.573; 0.00695; 24.0; -8.5; 1.4
57.0; 4.690; 0.00909; 23.0; -8.2; 1.8
58.5; 4.806; 0.01262; 20.8; -7.5; 2.4
60.0; 4.922; 0.01742; 16.7; -6.2; 3.1
61.5; 5.038; 0.02233; 11.0; -4.1; 3.7
63.0; 5.157; 0.02190; 6.7; -2.3; 3.9
64.5; 5.279; 0.01576; 5.9; -1.5; 3.9
66.0; 5.405; 0.00800; 9.6; -11.6; 3.7
67.5; 5.536; 0.00204; 2.7; -6.3; 3.6
69.0; 5.675; 0.00003; 3.0; -6.9; 3.5
70.5; 5.822; 0.00111; 2.5; -6.8; 3.3
72.0; 5.978; 0.00396; 1.6; -6.4; 3.2
