# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -1.649; 3.885; 4.220
1.5; 0.144; -1.622; 3.832; 4.161
3.0; 0.292; -1.380; 3.745; 3.991
4.5; 0.444; -2.518; 3.607; 4.399
6.0; 0.601; -2.358; 3.527; 4.243
7.5; 0.764; -2.212; 3.455; 4.103
9.0; 0.932; -2.054; 3.399; 3.972
10.5; 1.107; -1.824; 3.380; 3.841
12.0; 1.287; -0.900; 3.391; 3.508
13.5; 1.471; -0.804; 3.364; 3.459
15.0; 1.662; -0.721; 3.336; 3.413
16.5; 1.860; -0.619; 3.308; 3.365
18.0; 2.064; -0.497; 3.281; 3.318
19.5; 2.273; -0.360; 3.252; 3.272
21.0; 2.487; -0.214; 3.220; 3.227
22.5; 2.706; -0.069; 3.184; 3.185
24.0; 2.929; 0.079; 3.143; 3.144
25.5; 3.154; 0.192; 3.107; 3.113
27.0; 3.383; 0.185; 3.110; 3.116
28.5; 3.613; 0.180; 3.113; 3.118
30.0; 3.844; 0.276; 3.069; 3.081
31.5; 4.073; 0.346; 3.034; 3.053
33.0; 4.300; 0.388; 3.011; 3.036
34.5; 4.524; 0.421; 2.992; 3.021
36.0; 4.746; 0.446; 2.976; 3.009
37.5; 4.964; 0.465; 2.964; 3.000
39.0; 5.179; 0.480; 2.953; 2.991
40.5; 5.388; 0.494; 2.942; 2.983
42.0; 5.590; 0.509; 2.930; 2.974
43.5; 5.786; 0.525; 2.917; 2.963
45.0; 5.973; 0.538; 2.904; 2.954
46.5; 6.154; 0.541; 2.899; 2.949
48.0; 6.331; 0.560; 2.882; 2.936
49.5; 6.505; 0.705; 2.766; 2.854
51.0; 6.679; 0.983; 2.505; 2.691
52.5; 6.854; 1.296; 2.130; 2.494
54.0; 7.034; 1.598; 1.644; 2.293
55.5; 7.215; 1.853; 1.046; 2.128
57.0; 7.390; 2.008; 0.405; 2.048
58.5; 7.556; 2.024; 0.000; 2.024
60.0; 7.711; 1.927; -0.204; 1.937
61.5; 7.858; 1.664; -0.926; 1.904
63.0; 7.999; 1.217; -1.763; 2.142
64.5; 8.139; 0.678; -2.481; 2.572
66.0; 8.277; 0.281; -2.890; 2.903
67.5; 8.416; 0.313; -2.855; 2.873
69.0; 8.555; 0.539; -2.614; 2.669
70.5; 8.695; 0.766; -2.324; 2.448
72.0; 8.835; 0.993; -1.974; 2.210
73.5; 8.974; 1.227; -1.518; 1.952
75.0; 9.111; 1.442; -0.941; 1.722
76.5; 9.247; 1.578; -0.323; 1.611
78.0; 9.380; 1.563; 0.151; 1.570
79.5; 9.512; 1.077; 1.478; 1.828
81.0; 9.643; -0.047; 3.019; 3.019
82.5; 9.775; -1.115; 3.803; 3.963
84.0; 9.909; -1.573; 3.983; 4.283
85.5; 10.045; -1.692; 3.991; 4.335
87.0; 10.182; -1.724; 3.953; 4.313
88.5; 10.322; -1.689; 3.903; 4.252
90.0; 10.462; -1.622; 3.850; 4.178
91.5; 10.602; -1.541; 3.798; 4.099
93.0; 10.745; -1.451; 3.749; 4.020
