# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.01063; 1.9; 0.0; 3.6
1.5; 0.144; 0.00642; 2.4; -0.0; 3.5
3.0; 0.292; 0.00262; 4.5; -7.0; 3.4
4.5; 0.444; 0.00057; 5.3; -7.8; 3.3
6.0; 0.601; 0.00081; 5.6; -8.1; 3.2
7.5; 0.764; 0.00272; 5.7; -8.0; 3.2
9.0; 0.932; 0.00583; 5.5; -7.5; 3.2
10.5; 1.107; 0.00938; 1.7; -0.4; 3.2
12.0; 1.287; 0.01254; 1.5; 0.0; 3.1
13.5; 1.471; 0.01594; 1.6; 0.0; 3.1
15.0; 1.662; 0.01988; 1.8; 0.0; 3.1
16.5; 1.860; 0.02425; 2.2; 0.0; 3.1
18.0; 2.064; 0.02853; 2.6; 0.0; 3.0
19.5; 2.273; 0.03222; 3.1; 0.0; 3.0
21.0; 2.487; 0.03501; 3.6; 0.0; 3.0
22.5; 2.706; 0.03677; 4.1; 0.0; 2.9
24.0; 2.929; 0.03780; 4.6; 0.0; 2.9
25.5; 3.154; 0.03854; 4.6; 0.0; 2.9
27.0; 3.383; 0.03832; 4.6; -0.0; 2.9
28.5; 3.613; 0.03742; 5.4; -0.4; 2.9
30.0; 3.844; 0.03724; 6.0; -0.8; 2.8
31.5; 4.073; 0.03678; 6.5; -1.0; 2.8
33.0; 4.300; 0.03610; 6.9; -1.2; 2.8
34.5; 4.524; 0.03536; 7.2; -1.4; 2.8
36.0; 4.746; 0.03461; 7.5; -1.5; 2.8
37.5; 4.964; 0.03384; 7.8; -1.7; 2.8
39.0; 5.179; 0.03307; 8.1; -1.8; 2.8
40.5; 5.388; 0.03231; 8.4; -2.0; 2.7
42.0; 5.590; 0.03154; 8.7; -2.1; 2.7
43.5; 5.786; 0.03082; 9.0; -2.3; 2.7
45.0; 5.973; 0.03024; 9.2; -2.4; 2.7
46.5; 6.154; 0.02944; 9.5; -2.5; 2.7
48.0; 6.331; 0.02728; 10.7; -3.0; 2.6
49.5; 6.505; 0.02376; 12.7; -3.8; 2.3
51.0; 6.679; 0.01938; 15.0; -4.7; 2.0
52.5; 6.854; 0.01409; 17.3; -5.6; 1.5
54.0; 7.034; 0.00819; 19.4; -6.3; 1.0
55.5; 7.215; 0.00258; 20.9; -6.8; 0.4
57.0; 7.390; -0.00040; 21.7; -7.0; 0.0
58.5; 7.556; -0.00166; 21.9; -7.1; -0.2
60.0; 7.711; -0.00717; 21.0; -6.9; -0.9
61.5; 7.858; -0.01277; 19.0; -6.3; -1.6
63.0; 7.999; -0.01733; 16.4; -5.5; -2.3
64.5; 8.139; -0.01937; 14.3; -4.8; -2.7
66.0; 8.277; -0.01754; 14.7; -5.0; -2.7
67.5; 8.416; -0.01538; 16.1; -5.5; -2.4
69.0; 8.555; -0.01347; 17.6; -6.0; -2.2
70.5; 8.695; -0.01113; 19.2; -6.6; -1.8
72.0; 8.835; -0.00815; 20.9; -7.1; -1.4
73.5; 8.974; -0.00456; 22.5; -7.6; -0.9
75.0; 9.111; -0.00101; 23.8; -8.0; -0.3
76.5; 9.247; 0.00140; 24.3; -8.2; 0.1
78.0; 9.380; 0.00961; 22.0; -7.5; 1.4
79.5; 9.512; 0.01923; 15.9; -5.5; 2.8
81.0; 9.643; 0.02430; 9.3; -3.1; 3.6
82.5; 9.775; 0.02209; 5.3; -1.3; 3.7
84.0; 9.909; 0.01838; 3.1; 0.0; 3.7
85.5; 10.045; 0.01527; 2.5; 0.0; 3.7
87.0; 10.182; 0.01280; 2.2; 0.0; 3.6
88.5; 10.322; 0.01106; 2.0; 0.0; 3.6
90.0; 10.462; 0.01012; 1.9; 0.0; 3.6
91.5; 10.602; 0.00994; 1.9; 0.0; 3.5
93.0; 10.745; 0.01046; 1.9; 0.0; 3.5
94.5; 10.890; 0.01151; 2.0; 0.0; 3.4
96.0; 11.041; 0.01287; 2.0; 0.0; 3.4
97.5; 11.196; 0.01443; 2.1; 0.0; 3.3
99.0; 11.357; 0.01611; 2.2; 0.0; 3.3
100.5; 11.524; 0.01782; 2.4; 0.0; 3.3
102.0; 11.697; 0.01954; 2.5; 0.0; 3.2
103.5; 11.875; 0.02119; 2.6; 0.0; 3.2
105.0; 12.059; 0.02276; 2.7; 0.0; 3.2
106.5; 12.248; 0.02421; 2.7; 0.0; 3.2
108.0; 12.442; 0.02553; 2.8; 0.0; 3.1
109.5; 12.641; 0.02671; 2.8; 0.0; 3.1
111.0; 12.846; 0.02774; 2.8; 0.0; 3.1
112.5; 13.055; 0.02865; 2.8; 0.0; 3.1
114.0; 13.270; 0.02947; 2.7; 0.0; 3.1
115.5; 13.489; 0.03024; 2.6; 0.0; 3.1
117.0; 13.714; 0.03103; 2.6; 0.0; 3.0
118.5; 13.943; 0.03193; 2.5; 0.0; 3.0
120.0; 14.176; 0.03303; 2.6; 0.0; 3.0
121.5; 14.413; 0.03439; 2.6; 0.0; 3.0
123.0; 14.654; 0.03601; 2.8; 0.0; 3.0
124.5; 14.898; 0.03782; 3.0; 0.0; 3.0
126.0; 15.143; 0.03961; 3.3; 0.0; 2.9
127.5; 15.386; 0.04107; 3.7; 0.0; 2.9
129.0; 15.627; 0.04177; 4.4; 0.0; 2.9
130.5; 15.863; 0.04235; 4.7; 0.0; 2.8
132.0; 16.092; 0.04247; 4.7; 0.0; 2.9
133.5; 16.314; 0.04116; 5.4; -0.4; 2.8
135.0; 16.529; 0.03655; 8.6; -1.9; 2.6
136.5; 16.740; 0.03139; 11.5; -3.2; 2.3
138.0; 16.946; 0.02389; 14.5; -4.5; 1.9
139.5; 17.153; 0.01495; 17.2; -5.6; 1.3
141.0; 17.359; 0.00610; 19.2; -6.2; 0.6
142.5; 17.562; -0.00053; 20.4; -6.4; 0.0
144.0; 17.757; -0.00092; 20.7; -6.6; -0.1
145.5; 17.941; -0.00731; 20.0; -6.4; -0.8
147.0; 18.110; -0.01340; 18.2; -5.8; -1.5
148.5; 18.265; -0.01806; 16.0; -5.2; -2.1
150.0; 18.406; -0.02022; 14.3; -4.6; -2.5
151.5; 18.539; -0.01844; 14.6; -4.8; -2.5
153.0; 18.674; -0.01589; 16.0; -5.3; -2.2
154.5; 18.817; -0.01368; 17.5; -5.9; -2.0
156.0; 18.967; -0.01127; 18.9; -6.4; -1.7
157.5; 19.120; -0.00857; 20.3; -6.8; -1.3
159.0; 19.274; -0.00568; 21.7; -7.3; -0.9
160.5; 19.424; -0.00270; 22.8; -7.6; -0.5
162.0; 19.568; -0.00020; 23.6; -7.9; -0.1
163.5; 19.707; 0.00015; 24.0; -8.1; -0.0
165.0; 19.841; 0.00113; 24.2; -8.2; 0.2
166.5; 19.971; 0.00535; 23.5; -8.0; 0.8
168.0; 20.097; 0.01020; 21.6; -7.4; 1.6
169.5; 20.222; 0.01432; 19.0; -6.6; 2.3
171.0; 20.345; 0.01649; 16.7; -5.9; 2.8
172.5; 20.468; 0.01798; 14.8; -5.3; 3.1
174.0; 20.592; 0.01955; 12.7; -4.6; 3.3
175.5; 20.716; 0.02110; 10.4; -3.7; 3.5
177.0; 20.842; 0.02206; 8.0; -2.7; 3.6
178.5; 20.971; 0.02162; 5.7; -1.6; 3.7
180.0; 21.102; 0.01983; 3.9; -0.5; 3.7
181.5; 21.235; 0.01763; 2.8; 0.0; 3.7
183.0; 21.373; 0.01453; 2.2; 0.0; 3.6
