# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 10.19; -0.06739; 0.39764; 1.19273; 0.07904
1.5; 0.144; 9.91; -0.07054; 0.39362; 1.21935; 0.09530
3.0; 0.292; 9.66; -0.06729; 0.31572; 1.26270; 0.10177
4.5; 0.444; 9.23; -0.06620; 0.38736; 1.31462; 0.10343
6.0; 0.601; 8.81; -0.06726; 0.38264; 1.36631; 0.10204
7.5; 0.764; 8.40; -0.06698; 0.38498; 1.41008; 0.09359
9.0; 0.932; 8.01; -0.06662; 0.40397; 1.43772; 0.07879
10.5; 1.107; 7.64; -0.06932; 0.46148; 1.44132; 0.06140
12.0; 1.287; 7.43; -0.06971; 0.43240; 1.41587; 0.03948
13.5; 1.471; 7.24; -0.06728; 0.43711; 1.35967; 0.01497
15.0; 1.662; 7.05; -0.06425; 0.44346; 1.27599; -0.00530
16.5; 1.860; 6.88; -0.06063; 0.44961; 1.17204; -0.02033
18.0; 2.064; 6.74; -0.05652; 0.45631; 1.05455; -0.03165
19.5; 2.273; 6.62; -0.05213; 0.46277; 0.92767; -0.04134
21.0; 2.487; 6.54; -0.04778; 0.46802; 0.79217; -0.05159
22.5; 2.706; 6.49; -0.04375; 0.47118; 0.64557; -0.06355
24.0; 2.929; 6.48; -0.04002; 0.47001; 0.48527; -0.07501
25.5; 3.154; 6.50; -0.03724; 0.47024; 0.31453; -0.07990
27.0; 3.383; 6.51; -0.03694; 0.47996; 0.14555; -0.07172
28.5; 3.613; 6.53; -0.03710; 0.47843; -0.00333; -0.05100
30.0; 3.844; 6.57; -0.03509; 0.46054; -0.11433; -0.02283
31.5; 4.073; 6.62; -0.03327; 0.45568; -0.17484; 0.01200
33.0; 4.300; 6.69; -0.03223; 0.45048; -0.17634; 0.05214
34.5; 4.524; 6.77; -0.03149; 0.44364; -0.11374; 0.09459
36.0; 4.746; 6.85; -0.03094; 0.43695; 0.01267; 0.13480
37.5; 4.964; 6.93; -0.03053; 0.43036; 0.19473; 0.16764
39.0; 5.179; 7.02; -0.03020; 0.42373; 0.41694; 0.18935
40.5; 5.388; 7.11; -0.02989; 0.41702; 0.65902; 0.19760
42.0; 5.590; 7.19; -0.02958; 0.41018; 0.89809; 0.19062
43.5; 5.786; 7.28; -0.02923; 0.40322; 1.11065; 0.16734
45.0; 5.973; 7.37; -0.02892; 0.39680; 1.27528; 0.12841
46.5; 6.154; 7.45; -0.02877; 0.39218; 1.37573; 0.07745
48.0; 6.331; 7.54; -0.02839; 0.38413; 1.40223; 0.01885
49.5; 6.505; 7.65; -0.02610; 0.35534; 1.34784; -0.04745
51.0; 6.679; 7.82; -0.02177; 0.30885; 1.20266; -0.12179
52.5; 6.854; 8.04; -0.01697; 0.25303; 0.95478; -0.19474
54.0; 7.034; 8.34; -0.01225; 0.18374; 0.60617; -0.24895
55.5; 7.215; 8.68; -0.00756; 0.10335; 0.19026; -0.27272
57.0; 7.390; 9.04; -0.00309; 0.02598; -0.23520; -0.26421
58.5; 7.556; 9.39; -0.00022; -0.01130; -0.61096; -0.22449
60.0; 7.711; 9.70; 0.00127; -0.02728; -0.89739; -0.16416
61.5; 7.858; 9.95; 0.00602; -0.11975; -1.08669; -0.10747
63.0; 7.999; 10.12; 0.01260; -0.20838; -1.19312; -0.06264
64.5; 8.139; 10.21; 0.01989; -0.28086; -1.23436; -0.02992
66.0; 8.277; 10.25; 0.02569; -0.31133; -1.22625; -0.00579
67.5; 8.416; 10.28; 0.02592; -0.27404; -1.18074; 0.01705
69.0; 8.555; 10.35; 0.02276; -0.23692; -1.10496; 0.03893
70.5; 8.695; 10.45; 0.01921; -0.20824; -1.00424; 0.05686
72.0; 8.835; 10.59; 0.01556; -0.17216; -0.88493; 0.06998
73.5; 8.974; 10.76; 0.01153; -0.12466; -0.75355; 0.07961
75.0; 9.111; 10.96; 0.00706; -0.06640; -0.61448; 0.08785
76.5; 9.247; 11.18; 0.00264; -0.00873; -0.46962; 0.09535
78.0; 9.380; 11.40; -0.00072; 0.02884; -0.32085; 0.09995
79.5; 9.512; 11.54; -0.00964; 0.17824; -0.16781; 0.11417
81.0; 9.643; 11.53; -0.02460; 0.34741; -0.00096; 0.14240
82.5; 9.775; 11.36; -0.04144; 0.44265; 0.18856; 0.17537
84.0; 9.909; 11.12; -0.05409; 0.42495; 0.39932; 0.20024
85.5; 10.045; 10.85; -0.06161; 0.39770; 0.62128; 0.21227
87.0; 10.182; 10.57; -0.06576; 0.38546; 0.84039; 0.21138
88.5; 10.322; 10.29; -0.06813; 0.38025; 1.04102; 0.19804
90.0; 10.462; 10.02; -0.06937; 0.37810; 1.20757; 0.17246
91.5; 10.602; 9.76; -0.06979; 0.37754; 1.32659; 0.13651
93.0; 10.745; 9.51; -0.06952; 0.37823; 1.39036; 0.09561
94.5; 10.890; 9.27; -0.06872; 0.38056; 1.39932; 0.05667
96.0; 11.041; 9.04; -0.06753; 0.38460; 1.36014; 0.02382
97.5; 11.196; 8.81; -0.06609; 0.38973; 1.28171; -0.00209
99.0; 11.357; 8.60; -0.06451; 0.39554; 1.17300; -0.02144
100.5; 11.524; 8.39; -0.06284; 0.40181; 1.04244; -0.03482
102.0; 11.697; 8.20; -0.06114; 0.40836; 0.89776; -0.04294
103.5; 11.875; 8.02; -0.05946; 0.41510; 0.74584; -0.04658
105.0; 12.059; 7.84; -0.05785; 0.42196; 0.59254; -0.04652
106.5; 12.248; 7.68; -0.05637; 0.42892; 0.44267; -0.04353
108.0; 12.442; 7.53; -0.05505; 0.43597; 0.29994; -0.03831
109.5; 12.641; 7.39; -0.05393; 0.44311; 0.16710; -0.03147
111.0; 12.846; 7.25; -0.05305; 0.45034; 0.04607; -0.02344
112.5; 13.055; 7.12; -0.05240; 0.45763; -0.06178; -0.01450
114.0; 13.270; 6.99; -0.05197; 0.46492; -0.15514; -0.00448
115.5; 13.489; 6.86; -0.05168; 0.47209; -0.23169; 0.00785
117.0; 13.714; 6.73; -0.05146; 0.47897; -0.28628; 0.02454
118.5; 13.943; 6.61; -0.05118; 0.48542; -0.31106; 0.04652
120.0; 14.176; 6.49; -0.05072; 0.49125; -0.29831; 0.07261
121.5; 14.413; 6.37; -0.04995; 0.49634; -0.24315; 0.10050
123.0; 14.654; 6.26; -0.04876; 0.50056; -0.14456; 0.12754
124.5; 14.898; 6.17; -0.04707; 0.50371; -0.00593; 0.15079
126.0; 15.143; 6.10; -0.04486; 0.50539; 0.16454; 0.16740
127.5; 15.386; 6.06; -0.04222; 0.50564; 0.35489; 0.17576
129.0; 15.627; 6.04; -0.03929; 0.50320; 0.55183; 0.17519
130.5; 15.863; 6.07; -0.03561; 0.49281; 0.74106; 0.16315
132.0; 16.092; 6.13; -0.03356; 0.49409; 0.90530; 0.13928
133.5; 16.314; 6.17; -0.03367; 0.49896; 1.02668; 0.10385
135.0; 16.529; 6.23; -0.03248; 0.48172; 1.08940; 0.05384
136.5; 16.740; 6.38; -0.02520; 0.41498; 1.07687; -0.01787
138.0; 16.946; 6.62; -0.01877; 0.35775; 0.96829; -0.09993
139.5; 17.153; 6.94; -0.01373; 0.27327; 0.75119; -0.17460
141.0; 17.359; 7.34; -0.00906; 0.16753; 0.43392; -0.23041
142.5; 17.562; 7.79; -0.00444; 0.05954; 0.04221; -0.26752
144.0; 17.757; 8.24; -0.00032; -0.02084; -0.39162; -0.28636
145.5; 17.941; 8.65; 0.00063; -0.01204; -0.82414; -0.27384
147.0; 18.110; 8.98; 0.00513; -0.11768; -1.20451; -0.24068
148.5; 18.265; 9.21; 0.01127; -0.20569; -1.49185; -0.18043
150.0; 18.406; 9.35; 0.01759; -0.27543; -1.65213; -0.08849
151.5; 18.539; 9.44; 0.02259; -0.30793; -1.66996; 0.01989
153.0; 18.674; 9.52; 0.02312; -0.27615; -1.54801; 0.11924
154.5; 18.817; 9.64; 0.02030; -0.23570; -1.30235; 0.19239
156.0; 18.967; 9.79; 0.01699; -0.20408; -0.96300; 0.23640
157.5; 19.120; 9.98; 0.01382; -0.16895; -0.56827; 0.25550
159.0; 19.274; 10.20; 0.01064; -0.12848; -0.15725; 0.25432
160.5; 19.424; 10.43; 0.00739; -0.08391; 0.23460; 0.23613
162.0; 19.568; 10.68; 0.00408; -0.03719; 0.57923; 0.20522
163.5; 19.707; 10.92; 0.00112; 0.00204; 0.86183; 0.16808
165.0; 19.841; 11.15; 0.00008; 0.00353; 1.08006; 0.12739
166.5; 19.971; 11.36; -0.00102; 0.02072; 1.23579; 0.08750
168.0; 20.097; 11.53; -0.00529; 0.09818; 1.33436; 0.05588
169.5; 20.222; 11.65; -0.01167; 0.18311; 1.38638; 0.03440
171.0; 20.345; 11.70; -0.01878; 0.25334; 1.40400; 0.02165
172.5; 20.468; 11.69; -0.02470; 0.28661; 1.39757; 0.01369
174.0; 20.592; 11.63; -0.02959; 0.30902; 1.37436; 0.00900
175.5; 20.716; 11.54; -0.03458; 0.33524; 1.34001; 0.00814
177.0; 20.842; 11.39; -0.04038; 0.36382; 1.29981; 0.01182
178.5; 20.971; 11.20; -0.04699; 0.38749; 1.25916; 0.02004
180.0; 21.102; 10.98; -0.05355; 0.39675; 1.22334; 0.03173
181.5; 21.235; 10.73; -0.05902; 0.39374; 1.19734; 0.04563
183.0; 21.373; 10.47; -0.06344; 0.39430; 1.18582; 0.06155
184.5; 21.514; 10.19; -0.06739; 0.39764; 1.19273; 0.07904
