# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -1.146; 2.866; 3.087
0.3; 0.073; -1.048; 2.891; 3.075
0.6; 0.149; -0.971; 2.907; 3.065
0.9; 0.229; -0.925; 2.913; 3.056
1.2; 0.314; -0.918; 2.909; 3.051
1.5; 0.402; -0.728; 2.922; 3.011
1.8; 0.495; -0.130; 2.964; 2.967
2.1; 0.589; -0.118; 2.963; 2.965
2.4; 0.687; -0.114; 2.960; 2.962
2.7; 0.786; -0.132; 2.954; 2.956
3.0; 0.888; -0.177; 2.941; 2.946
3.3; 0.992; -0.115; 2.921; 2.923
3.6; 1.095; 0.170; 2.889; 2.894
3.9; 1.197; 0.377; 2.851; 2.876
4.2; 1.296; 0.405; 2.848; 2.876
4.5; 1.393; 0.346; 2.866; 2.887
4.8; 1.488; 0.276; 2.886; 2.899
5.1; 1.582; 0.225; 2.899; 2.908
5.4; 1.675; 0.202; 2.905; 2.912
5.7; 1.768; 0.204; 2.905; 2.913
6.0; 1.862; 0.228; 2.901; 2.910
6.3; 1.957; 0.270; 2.894; 2.906
6.6; 2.051; 0.323; 2.883; 2.901
6.9; 2.142; 0.380; 2.870; 2.895
7.2; 2.228; 0.435; 2.857; 2.890
7.5; 2.308; 0.485; 2.844; 2.885
7.8; 2.380; 0.536; 2.830; 2.880
8.1; 2.447; 0.596; 2.811; 2.873
8.4; 2.511; 0.678; 2.783; 2.864
8.7; 2.577; 0.790; 2.741; 2.852
9.0; 2.647; 0.926; 2.684; 2.839
9.3; 2.719; 1.059; 2.621; 2.827
9.6; 2.792; 1.166; 2.565; 2.818
9.9; 2.866; 1.224; 2.526; 2.807
10.2; 2.939; 1.300; 2.464; 2.786
10.5; 3.012; 1.397; 2.381; 2.761
10.8; 3.083; 1.505; 2.280; 2.732
11.1; 3.152; 1.617; 2.164; 2.702
11.4; 3.219; 1.729; 2.037; 2.672
11.7; 3.285; 1.840; 1.898; 2.643
12.0; 3.349; 1.948; 1.746; 2.616
12.3; 3.412; 2.054; 1.582; 2.592
12.6; 3.472; 2.155; 1.403; 2.572
12.9; 3.532; 2.250; 1.211; 2.556
13.2; 3.589; 2.335; 1.012; 2.545
13.5; 3.645; 2.405; 0.815; 2.540
13.8; 3.699; 2.455; 0.639; 2.537
14.1; 3.752; 2.482; 0.509; 2.534
14.4; 3.803; 2.481; 0.460; 2.524
14.7; 3.853; 2.446; 0.527; 2.502
15.0; 3.902; 2.361; 0.735; 2.473
15.3; 3.950; 0.447; 1.040; 1.132
15.6; 3.999; -3.218; 1.414; 3.515
15.9; 4.048; -2.977; 1.770; 3.464
16.2; 4.099; -2.748; 2.053; 3.430
16.5; 4.152; -2.545; 2.266; 3.407
16.8; 4.207; -2.375; 2.417; 3.389
17.1; 4.263; -2.241; 2.519; 3.371
17.4; 4.321; -2.139; 2.582; 3.353
17.7; 4.382; -2.065; 2.616; 3.333
18.0; 4.444; -2.004; 2.636; 3.311
18.3; 4.508; -1.930; 2.656; 3.283
18.6; 4.574; -1.847; 2.682; 3.256
18.9; 4.642; -1.752; 2.715; 3.231
19.2; 4.711; -1.646; 2.754; 3.208
19.5; 4.781; -1.534; 2.794; 3.187
19.8; 4.852; -1.419; 2.833; 3.168
20.1; 4.924; -1.306; 2.867; 3.151
20.4; 4.995; -1.202; 2.895; 3.135
20.7; 5.067; -1.111; 2.916; 3.120
21.0; 5.138; -1.037; 2.929; 3.107
21.3; 5.209; -0.984; 2.935; 3.096
21.6; 5.281; -0.957; 2.935; 3.087
21.9; 5.355; -0.211; 2.986; 2.993
22.2; 5.429; -0.207; 2.981; 2.988
22.5; 5.505; -0.194; 2.974; 2.980
22.8; 5.582; -0.145; 2.964; 2.968
23.1; 5.660; -0.018; 2.948; 2.949
23.4; 5.739; 0.203; 2.915; 2.922
23.7; 5.820; 0.469; 2.855; 2.893
24.0; 5.901; 0.703; 2.780; 2.867
24.3; 5.984; 0.874; 2.711; 2.848
24.6; 6.066; 1.004; 2.651; 2.835
24.9; 6.147; 1.123; 2.591; 2.824
25.2; 6.225; 1.240; 2.513; 2.802
25.5; 6.301; 1.415; 2.369; 2.759
25.8; 6.372; 1.659; 2.133; 2.702
26.1; 6.439; 1.951; 1.786; 2.645
26.4; 6.502; 2.256; 1.314; 2.610
26.7; 6.562; -0.386; 0.703; 0.802
27.0; 6.624; -3.177; 0.008; 3.177
27.3; 6.689; -2.993; -0.660; 3.064
27.6; 6.759; -2.738; -1.237; 3.004
27.9; 6.834; -2.458; -1.709; 2.994
28.2; 6.914; -2.171; -2.094; 3.017
28.5; 6.999; -1.876; -2.412; 3.056
28.8; 7.088; -1.510; -2.665; 3.063
29.1; 7.181; -1.130; -2.837; 3.053
29.4; 7.276; -0.843; -2.919; 3.038
29.7; 7.373; -0.851; -2.925; 3.046
30.0; 7.474; -0.995; -2.877; 3.044
30.3; 7.578; -1.180; -2.806; 3.044
30.6; 7.688; -1.299; -2.737; 3.030
30.9; 7.803; -1.335; -2.674; 2.989
31.2; 7.924; -1.329; -2.600; 2.920
31.5; 8.050; -1.314; -2.510; 2.833
