# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.11540; 3.9; -5.8; 2.7
0.3; 0.073; 0.11958; 4.4; -6.0; 2.7
0.6; 0.149; 0.12301; 4.7; -6.2; 2.7
0.9; 0.229; 0.12566; 4.6; -6.1; 2.7
1.2; 0.314; 0.12777; 1.0; -1.8; 2.7
1.5; 0.402; 0.12931; 1.4; 0.0; 2.8
1.8; 0.495; 0.13015; 1.5; 0.0; 2.8
2.1; 0.589; 0.13036; 1.5; 0.0; 2.8
2.4; 0.687; 0.13025; 1.4; 0.0; 2.8
2.7; 0.786; 0.13035; 1.2; 0.0; 2.7
3.0; 0.888; 0.13161; 1.5; 0.0; 2.7
3.3; 0.992; 0.13576; 2.5; 0.0; 2.7
3.6; 1.095; 0.14049; 3.4; 0.0; 2.7
3.9; 1.197; 0.14364; 3.5; 0.0; 2.7
4.2; 1.296; 0.14450; 3.3; 0.0; 2.7
4.5; 1.393; 0.14336; 3.1; 0.0; 2.7
4.8; 1.488; 0.14098; 2.9; 0.0; 2.7
5.1; 1.582; 0.13809; 2.8; 0.0; 2.7
5.4; 1.675; 0.13515; 2.8; 0.0; 2.7
5.7; 1.768; 0.13233; 2.9; 0.0; 2.7
6.0; 1.862; 0.12962; 3.0; 0.0; 2.7
6.3; 1.957; 0.12695; 3.2; 0.0; 2.7
6.6; 2.051; 0.12426; 3.4; 0.0; 2.7
6.9; 2.142; 0.12154; 3.6; 0.0; 2.7
7.2; 2.228; 0.11879; 3.8; 0.0; 2.7
7.5; 2.308; 0.11592; 4.0; 0.0; 2.6
7.8; 2.380; 0.11274; 4.3; 0.0; 2.6
8.1; 2.447; 0.10900; 4.6; 0.0; 2.6
8.4; 2.511; 0.10452; 5.0; 0.0; 2.6
8.7; 2.577; 0.09946; 5.5; 0.0; 2.5
9.0; 2.647; 0.09428; 6.0; 0.0; 2.5
9.3; 2.719; 0.08940; 6.4; 0.0; 2.4
9.6; 2.792; 0.08506; 6.9; -0.2; 2.4
9.9; 2.866; 0.07947; 7.6; -0.6; 2.3
10.2; 2.939; 0.07329; 8.5; -1.1; 2.2
10.5; 3.012; 0.06692; 9.4; -1.6; 2.1
10.8; 3.083; 0.06058; 10.3; -2.1; 2.0
11.1; 3.152; 0.05433; 11.3; -2.6; 1.9
11.4; 3.219; 0.04819; 12.2; -3.0; 1.8
11.7; 3.285; 0.04217; 13.0; -3.4; 1.6
12.0; 3.349; 0.03626; 13.9; -3.8; 1.5
12.3; 3.412; 0.03049; 14.7; -4.1; 1.3
12.6; 3.472; 0.02490; 15.4; -4.4; 1.1
12.9; 3.532; 0.01962; 16.1; -4.7; 0.9
13.2; 3.589; 0.01486; 16.7; -4.9; 0.8
13.5; 3.645; 0.01093; 17.1; -5.1; 0.6
13.8; 3.699; 0.00828; 17.5; -5.2; 0.5
14.1; 3.752; 0.00744; 17.6; -5.3; 0.4
14.4; 3.803; 0.00890; 17.6; -5.3; 0.5
14.7; 3.853; 0.01291; 17.3; -5.2; 0.7
15.0; 3.902; 0.01865; 40.4; -35.4; 1.0
15.3; 3.950; 0.02463; 0.0; -8.8; 1.3
15.6; 3.999; 0.03021; 0.0; -8.0; 1.7
15.9; 4.048; 0.03504; 0.0; -7.2; 1.9
16.2; 4.099; 0.03894; 0.0; -6.6; 2.1
16.5; 4.152; 0.04192; 0.0; -6.0; 2.3
