# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 3.58; -0.00959; 0.80988; 0.45674; -0.09892
0.3; 0.073; 3.50; -0.01043; 0.83434; 0.42335; -0.14042
0.6; 0.149; 3.43; -0.01129; 0.85641; 0.37886; -0.17523
0.9; 0.229; 3.35; -0.01212; 0.87560; 0.32469; -0.20116
1.2; 0.314; 3.27; -0.01275; 0.89076; 0.26282; -0.21847
1.5; 0.402; 3.20; -0.01301; 0.91603; 0.19548; -0.22753
1.8; 0.495; 3.18; -0.01249; 0.92774; 0.12492; -0.23033
2.1; 0.589; 3.17; -0.01236; 0.93338; 0.05263; -0.22941
2.4; 0.687; 3.16; -0.01213; 0.93285; -0.02050; -0.22609
2.7; 0.786; 3.14; -0.01115; 0.92340; -0.09356; -0.22025
3.0; 0.888; 3.12; -0.00834; 0.90051; -0.16480; -0.20967
3.3; 0.992; 3.10; -0.00215; 0.86331; -0.23092; -0.19234
3.6; 1.095; 3.12; 0.00666; 0.84284; -0.28795; -0.16758
3.9; 1.197; 3.16; 0.01330; 0.85674; -0.33294; -0.13399
4.2; 1.296; 3.21; 0.01552; 0.88212; -0.36404; -0.09062
4.5; 1.393; 3.25; 0.01470; 0.89957; -0.37968; -0.03843
4.8; 1.488; 3.28; 0.01257; 0.90538; -0.37833; 0.02111
5.1; 1.582; 3.30; 0.01023; 0.90211; -0.35845; 0.08645
5.4; 1.675; 3.32; 0.00824; 0.89341; -0.31868; 0.15443
5.7; 1.768; 3.34; 0.00678; 0.88200; -0.25846; 0.21928
6.0; 1.862; 3.37; 0.00588; 0.86946; -0.17895; 0.27512
6.3; 1.957; 3.39; 0.00542; 0.85663; -0.08349; 0.31789
6.6; 2.051; 3.43; 0.00520; 0.84395; 0.02240; 0.34402
6.9; 2.142; 3.46; 0.00504; 0.83167; 0.13103; 0.34898
7.2; 2.228; 3.50; 0.00480; 0.81986; 0.23292; 0.32756
7.5; 2.308; 3.54; 0.00446; 0.80821; 0.31830; 0.27527
7.8; 2.380; 3.58; 0.00406; 0.79574; 0.37971; 0.19143
8.1; 2.447; 3.62; 0.00369; 0.78075; 0.41410; 0.08602
8.4; 2.511; 3.67; 0.00343; 0.76145; 0.42250; -0.01901
8.7; 2.577; 3.72; 0.00334; 0.73684; 0.40764; -0.10381
9.0; 2.647; 3.78; 0.00335; 0.70888; 0.37336; -0.16246
9.3; 2.719; 3.86; 0.00323; 0.68161; 0.32448; -0.19823
9.6; 2.792; 3.95; 0.00277; 0.65789; 0.26602; -0.21608
9.9; 2.866; 4.04; 0.00191; 0.63839; 0.20259; -0.22024
